Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 01:03:57.047000,VER,,1.0,1.0,MEDIUM,1.0,1,False
0 days 01:05:27.757000,VER,0 days 00:01:30.710000,2.0,1.0,MEDIUM,2.0,1,True
0 days 01:06:58.165000,VER,0 days 00:01:30.408000,3.0,1.0,MEDIUM,3.0,1,True
0 days 01:08:28.881000,VER,0 days 00:01:30.716000,4.0,1.0,MEDIUM,4.0,1,False
0 days 01:09:59.433000,VER,0 days 00:01:30.552000,5.0,1.0,MEDIUM,5.0,1,False
0 days 01:11:29.873000,VER,0 days 00:01:30.440000,6.0,1.0,MEDIUM,6.0,1,False
0 days 01:13:00.402000,VER,0 days 00:01:30.529000,7.0,1.0,MEDIUM,7.0,1,False
0 days 01:14:30.918000,VER,0 days 00:01:30.516000,8.0,1.0,MEDIUM,8.0,1,False
0 days 01:16:01.550000,VER,0 days 00:01:30.632000,9.0,1.0,MEDIUM,9.0,1,False
0 days 01:17:32.056000,VER,0 days 00:01:30.506000,10.0,1.0,MEDIUM,10.0,1,False
0 days 01:19:02.617000,VER,0 days 00:01:30.561000,11.0,1.0,MEDIUM,11.0,1,False
0 days 01:20:33.207000,VER,0 days 00:01:30.590000,12.0,1.0,MEDIUM,12.0,1,False
0 days 01:22:03.768000,VER,0 days 00:01:30.561000,13.0,1.0,MEDIUM,13.0,1,False
0 days 01:23:34.415000,VER,0 days 00:01:30.647000,14.0,1.0,MEDIUM,14.0,1,False
0 days 01:25:04.682000,VER,0 days 00:01:30.267000,15.0,1.0,MEDIUM,15.0,1,True
0 days 01:26:37.240000,VER,0 days 00:01:32.558000,16.0,1.0,MEDIUM,16.0,1,False
0 days 01:28:27.428000,VER,0 days 00:01:50.188000,17.0,2.0,HARD,1.0,1,False
0 days 01:29:57.324000,VER,0 days 00:01:29.896000,18.0,2.0,HARD,2.0,1,True
0 days 01:31:26.710000,VER,0 days 00:01:29.386000,19.0,2.0,HARD,3.0,1,True
0 days 01:32:56.338000,VER,0 days 00:01:29.628000,20.0,2.0,HARD,4.0,1,False
0 days 01:34:25.465000,VER,0 days 00:01:29.127000,21.0,2.0,HARD,5.0,1,True
0 days 01:35:55.154000,VER,0 days 00:01:29.689000,22.0,2.0,HARD,6.0,1,False
0 days 01:37:24.788000,VER,0 days 00:01:29.634000,23.0,2.0,HARD,7.0,1,False
0 days 01:38:54.081000,VER,0 days 00:01:29.293000,24.0,2.0,HARD,8.0,1,False
0 days 01:40:23.482000,VER,0 days 00:01:29.401000,25.0,2.0,HARD,9.0,1,False
