Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest,LapTime_Seconds,RollingAvgLapTime,BaselineLapTime,LapTimeDelta,DegradationRate,AirTemp,TrackTemp,Humidity,WindSpeed
0 days 01:05:27.757000,VER,0 days 00:01:30.710000,2.0,1.0,MEDIUM,2.0,1,True,90.71000000000001,90.71000000000001,90.44,0.27000000000001023,,27.0,33.4,51.0,1.7
0 days 01:05:29.093000,LEC,0 days 00:01:31.117000,2.0,1.0,MEDIUM,2.0,1,True,91.117,91.117,90.544,0.5730000000000075,,27.0,33.4,51.0,1.7
0 days 01:05:29.814000,PIA,0 days 00:01:31.075000,2.0,1.0,MEDIUM,2.0,1,True,91.075,91.075,90.813,0.26200000000000045,,27.0,33.4,51.0,1.7
0 days 01:05:30.596000,NOR,0 days 00:01:31.430000,2.0,1.0,MEDIUM,2.0,1,True,91.43,91.43,90.45,0.980000000000004,,27.0,33.4,51.0,1.7
0 days 01:05:31.231000,RUS,0 days 00:01:31.598000,2.0,1.0,MEDIUM,2.0,1,True,91.598,91.598,90.80799999999999,0.7900000000000063,,27.0,33.4,51.0,1.7
0 days 01:05:31.966000,TSU,0 days 00:01:31.674000,2.0,1.0,MEDIUM,2.0,1,True,91.674,91.674,90.786,0.8880000000000052,,27.0,33.4,51.0,1.7
0 days 01:05:32.656000,ALO,0 days 00:01:31.755000,2.0,1.0,MEDIUM,2.0,1,True,91.755,91.755,90.803,0.9519999999999982,,27.0,33.4,51.0,1.7
0 days 01:05:33.207000,GAS,0 days 00:01:31.774000,2.0,1.0,MEDIUM,2.0,1,True,91.774,91.774,90.886,0.8880000000000052,,27.0,33.4,51.0,1.7
0 days 01:05:33.811000,HAM,0 days 00:01:31.727000,2.0,1.0,MEDIUM,2.0,1,True,91.727,91.727,90.634,1.0930000000000035,,27.0,33.4,51.0,1.7
0 days 01:05:34.274000,PER,0 days 00:01:31.672000,2.0,1.0,MEDIUM,2.0,1,True,91.672,91.672,90.682,0.9899999999999949,,27.0,33.4,51.0,1.7
0 days 01:05:34.864000,OCO,0 days 00:01:31.810000,2.0,1.0,MEDIUM,2.0,1,True,91.81,91.81,90.689,1.1210000000000093,,27.0,33.4,51.0,1.7
0 days 01:05:35.496000,STR,0 days 00:01:31.963000,2.0,1.0,HARD,3.0,1,True,91.963,91.963,90.795,1.1679999999999922,,27.0,33.4,51.0,1.7
0 days 01:05:36.511000,SAI,0 days 00:01:31.980000,2.0,1.0,HARD,2.0,1,True,91.98,91.98,91.175,0.8050000000000068,,27.1,33.7,49.0,1.7
0 days 01:05:37.069000,HUL,0 days 00:01:32.921000,2.0,1.0,MEDIUM,2.0,1,True,92.92099999999999,92.92099999999999,91.101,1.8199999999999932,,27.1,33.7,49.0,1.7
0 days 01:05:37.547000,RIC,0 days 00:01:32.742000,2.0,1.0,MEDIUM,2.0,1,True,92.74199999999999,92.74199999999999,91.064,1.6779999999999973,,27.1,33.7,49.0,1.7
0 days 01:05:37.927000,BOT,0 days 00:01:32.770000,2.0,1.0,HARD,2.0,1,True,92.77000000000001,92.77000000000001,91.122,1.6480000000000103,,27.1,33.7,49.0,1.7
0 days 01:05:38.294000,ZHO,0 days 00:01:32.533000,2.0,1.0,MEDIUM,2.0,1,True,92.533,92.533,91.331,1.2019999999999982,,27.1,33.7,49.0,1.7
0 days 01:05:38.965000,ALB,0 days 00:01:33.560000,2.0,1.0,MEDIUM,3.0,1,False,93.56,93.56,91.491,2.0690000000000026,,27.1,33.7,49.0,1.7
0 days 01:05:39.521000,MAG,0 days 00:01:33.067000,2.0,1.0,MEDIUM,2.0,1,True,93.06700000000001,93.06700000000001,93.06700000000001,0.0,,27.1,33.7,49.0,1.7
0 days 01:05:40.461000,SAR,0 days 00:01:33.582000,2.0,1.0,MEDIUM,3.0,1,False,93.582,93.582,91.712,1.8699999999999903,,27.1,33.7,49.0,1.7
0 days 01:06:58.165000,VER,0 days 00:01:30.408000,3.0,1.0,MEDIUM,3.0,1,True,90.408,90.559,90.44,-0.031999999999996476,-0.3020000000000067,27.0,33.7,50.0,2.2
0 days 01:06:59.593000,LEC,0 days 00:01:30.500000,3.0,1.0,MEDIUM,3.0,1,True,90.5,90.80850000000001,90.544,-0.04399999999999693,-0.6170000000000044,27.0,33.7,50.0,2.2
0 days 01:07:00.445000,PIA,0 days 00:01:30.631000,3.0,1.0,MEDIUM,3.0,1,True,90.631,90.85300000000001,90.813,-0.18200000000000216,-0.4440000000000026,27.0,33.7,50.0,2.2
0 days 01:07:01.310000,NOR,0 days 00:01:30.714000,3.0,1.0,MEDIUM,3.0,1,True,90.714,91.072,90.45,0.2639999999999958,-0.7160000000000082,27.0,33.7,50.0,2.2
0 days 01:07:01.829000,RUS,0 days 00:01:30.598000,3.0,1.0,MEDIUM,3.0,1,True,90.598,91.098,90.80799999999999,-0.20999999999999375,-1.0,27.0,33.7,50.0,2.2
0 days 01:07:02.640000,TSU,0 days 00:01:30.674000,3.0,1.0,MEDIUM,3.0,1,True,90.674,91.174,90.786,-0.11199999999999477,-1.0,27.0,33.7,50.0,2.2
0 days 01:07:03.479000,ALO,0 days 00:01:30.823000,3.0,1.0,MEDIUM,3.0,1,True,90.82300000000001,91.289,90.803,0.020000000000010232,-0.931999999999988,27.0,33.7,50.0,2.2
0 days 01:07:04.031000,GAS,0 days 00:01:30.824000,3.0,1.0,MEDIUM,3.0,1,True,90.824,91.299,90.886,-0.06199999999999761,-0.9500000000000028,27.0,33.7,50.0,2.2
0 days 01:07:04.743000,PER,0 days 00:01:30.469000,3.0,1.0,MEDIUM,3.0,1,True,90.469,91.0705,90.682,-0.21300000000000807,-1.203000000000003,27.0,33.7,50.0,2.2
0 days 01:07:05.337000,HAM,0 days 00:01:31.526000,3.0,1.0,MEDIUM,3.0,1,True,91.526,91.6265,90.634,0.8919999999999959,-0.20100000000000762,27.0,33.7,50.0,2.2
