Driver,Stint,Compound,TotalLaps,CleanLaps,FirstCleanLapTime,LastCleanLapTime,TotalDegradation_Seconds,DegradationPerLap_Seconds,LinearDegradationRate,AvgTrackTemp,AvgAirTemp,StartLap,EndLap
VER,1,MEDIUM,15,13,90.71600000000001,92.55799999999999,1.8419999999999845,0.1416923076923065,0.05839560439560356,32.86666666666667,26.900000000000002,2,16
VER,2,HARD,27,25,89.386,91.39099999999999,2.0049999999999955,0.08019999999999981,-0.0017853846153852253,31.87777777777777,26.640740740740743,17,43
VER,3,HARD,15,13,87.902,88.545,0.6430000000000007,0.049461538461538515,0.010170329670333387,31.06666666666667,26.48,44,58
LEC,1,MEDIUM,16,14,90.884,92.468,1.5840000000000032,0.11314285714285736,0.05892087912087531,32.85,26.881249999999998,2,17
LEC,2,HARD,18,16,90.07300000000001,91.443,1.3699999999999903,0.0856249999999994,0.022107352941177955,32.06666666666667,26.655555555555555,18,35
LEC,3,HARD,23,21,88.736,91.28399999999999,2.5479999999999876,0.12133333333333274,0.04728441558441522,31.143478260869564,26.52173913043478,36,58
PIA,1,MEDIUM,12,10,91.816,92.981,1.164999999999992,0.1164999999999992,0.15646666666666656,32.983333333333334,26.933333333333337,2,13
PIA,2,HARD,23,21,90.276,91.58,1.304000000000002,0.06209523809523819,0.005612987012988003,32.07826086956521,26.6608695652174,14,36
PIA,3,HARD,22,20,88.65,88.467,-0.18300000000000693,-0.009150000000000347,-0.0011375939849630498,31.118181818181814,26.509090909090904,37,58
NOR,1,MEDIUM,13,11,90.188,92.394,2.206000000000003,0.20054545454545483,0.15546363636364122,32.93076923076923,26.923076923076927,2,14
NOR,2,HARD,19,17,90.133,91.445,1.3119999999999976,0.07717647058823515,0.006311274509804989,32.152631578947364,26.668421052631583,15,33
NOR,3,HARD,25,23,89.881,88.588,-1.2930000000000064,-0.0562173913043481,-0.03915019762845984,31.183999999999997,26.524,34,58
RUS,1,MEDIUM,13,11,90.797,92.471,1.6740000000000066,0.15218181818181878,0.0867181818181846,32.94615384615385,26.923076923076927,2,14
RUS,2,HARD,20,18,90.049,90.962,0.9129999999999967,0.05072222222222204,-0.0029690402476760286,32.135,26.665000000000003,15,34
RUS,3,HARD,24,22,88.943,88.82,-0.12300000000000466,-0.0055909090909093025,0.0016070016939614949,31.162499999999998,26.520833333333332,35,58
TSU,1,MEDIUM,21,19,90.757,92.56700000000001,1.8100000000000023,0.09526315789473697,0.04735263157894752,32.73809523809524,26.83809523809524,2,22
TSU,2,HARD,36,34,90.104,90.38,0.27599999999999625,0.008117647058823419,-0.0024140565317018123,31.397222222222215,26.552777777777777,23,58
ALO,1,MEDIUM,11,9,90.66,93.378,2.7180000000000035,0.3020000000000004,0.2263833333333347,33.00909090909091,26.94545454545455,2,12
ALO,2,HARD,24,22,90.389,92.048,1.659000000000006,0.07540909090909119,0.008566911349520307,32.1,26.662499999999998,13,36
ALO,3,HARD,22,20,88.8,88.706,-0.09399999999999409,-0.004699999999999704,0.007112781954885122,31.109090909090902,26.509090909090904,37,58
GAS,1,MEDIUM,16,14,90.758,94.709,3.9510000000000076,0.28221428571428625,0.19644835164834923,32.84375,26.881249999999998,2,17
GAS,2,HARD,15,13,90.242,92.563,2.320999999999998,0.17853846153846137,0.05668131868132114,32.093333333333334,26.653333333333343,18,32
GAS,3,HARD,26,24,89.01599999999999,89.547,0.5310000000000059,0.022125000000000245,-0.013108695652173763,31.219230769230762,26.52307692307692,33,58
HAM,1,MEDIUM,14,12,90.844,93.65100000000001,2.8070000000000164,0.23391666666666802,0.17038111888111895,32.9,26.914285714285718,2,15
HAM,2,HARD,20,18,90.057,91.324,1.266999999999996,0.07038888888888867,0.004891640866873932,32.085,26.645,16,35
HAM,3,HARD,23,21,90.373,90.894,0.5210000000000008,0.024809523809523847,0.0009181818181832755,31.121739130434776,26.517391304347825,36,58
PER,1,MEDIUM,16,14,90.759,93.256,2.497,0.17835714285714285,0.10323516483516065,32.84375,26.881249999999998,2,17
PER,2,HARD,25,23,89.107,90.958,1.850999999999999,0.08047826086956518,-0.004364624505931087,31.872,26.636,18,42
PER,3,HARD,16,14,87.837,87.94800000000001,0.1110000000000042,0.007928571428571729,0.003123076923077072,31.06875,26.475,43,58
OCO,1,MEDIUM,14,12,90.988,93.667,2.679000000000002,0.22325000000000017,0.16553846153846025,32.892857142857146,26.914285714285718,2,15
OCO,2,HARD,43,41,90.276,90.639,0.36299999999999955,0.008853658536585355,-0.0022047038327519105,31.569767441860463,26.576744186046515,16,58
STR,1,HARD,21,19,91.017,92.91499999999999,1.8979999999999961,0.09989473684210506,0.02782105263157751,32.74285714285715,26.83809523809524,2,22
STR,2,HARD,20,18,89.87,91.64,1.769999999999996,0.0983333333333331,0.066049535603716,31.674999999999994,26.615000000000002,23,42
STR,3,MEDIUM,16,14,88.17699999999999,89.68299999999999,1.5060000000000002,0.10757142857142858,0.1136505494505501,31.043750000000003,26.475,43,58
SAI,1,HARD,22,20,91.099,93.587,2.4879999999999995,0.12439999999999998,0.06022030075187673,32.727272727272734,26.83636363636364,2,23
SAI,2,HARD,33,31,90.007,91.45400000000001,1.4470000000000027,0.046677419354838795,0.014566129032256805,31.41212121212121,26.55757575757576,24,56
HUL,1,MEDIUM,12,10,91.374,93.719,2.344999999999999,0.23449999999999988,0.1855030303030336,33.0,26.941666666666666,2,13
HUL,2,HARD,20,18,90.574,92.455,1.8810000000000002,0.10450000000000001,0.059050567595459874,32.15,26.660000000000004,14,33
HUL,3,HARD,25,23,89.691,89.217,-0.47400000000000375,-0.020608695652174075,-0.0030187747035593793,31.191999999999997,26.524,34,58
RIC,1,MEDIUM,6,4,91.28399999999999,93.072,1.788000000000011,0.44700000000000273,0.5101999999999879,33.3,27.016666666666666,2,7
RIC,2,HARD,24,22,90.238,92.48400000000001,2.2460000000000093,0.10209090909090951,0.0590135516657289,32.31666666666667,26.716666666666665,8,31
RIC,3,HARD,27,25,89.584,89.02,-0.5640000000000072,-0.022560000000000288,-0.06658538461538521,31.229629629629628,26.52962962962963,32,58
BOT,1,HARD,28,26,91.281,94.094,2.812999999999988,0.10819230769230724,0.07254188034187926,32.56428571428572,26.792857142857148,2,29
BOT,2,MEDIUM,28,26,90.245,90.55,0.3049999999999926,0.011730769230768946,0.02628854700854632,31.28571428571428,26.53214285714285,30,57
ZHO,1,MEDIUM,12,10,91.303,93.899,2.5960000000000036,0.2596000000000004,0.20855151515151862,33.0,26.941666666666666,2,13
ZHO,2,HARD,24,22,90.842,92.936,2.0940000000000083,0.09518181818181856,0.01739130434782888,32.05,26.65833333333333,14,37
