Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 01:05:04.326000,VER,,1.0,1.0,MEDIUM,1.0,124,False
0 days 01:07:48.688000,VER,,2.0,1.0,MEDIUM,2.0,4,False
0 days 01:10:34.016000,VER,,3.0,1.0,MEDIUM,3.0,4,False
0 days 01:13:29.674000,VER,,4.0,1.0,MEDIUM,4.0,41,False
0 days 01:15:06.422000,VER,0 days 00:01:36.748000,5.0,1.0,MEDIUM,5.0,1,True
0 days 01:16:44.259000,VER,0 days 00:01:37.837000,6.0,1.0,MEDIUM,6.0,1,False
0 days 01:18:22.292000,VER,0 days 00:01:38.033000,7.0,1.0,MEDIUM,7.0,1,False
0 days 01:20:00.440000,VER,0 days 00:01:38.148000,8.0,1.0,MEDIUM,8.0,1,False
0 days 01:21:38.681000,VER,0 days 00:01:38.241000,9.0,1.0,MEDIUM,9.0,1,False
0 days 01:23:16.982000,VER,0 days 00:01:38.301000,10.0,1.0,MEDIUM,10.0,1,False
0 days 01:24:55.501000,VER,0 days 00:01:38.519000,11.0,1.0,MEDIUM,11.0,1,False
0 days 01:26:34.152000,VER,0 days 00:01:38.651000,12.0,1.0,MEDIUM,12.0,12,False
0 days 01:28:12.841000,VER,0 days 00:01:38.689000,13.0,1.0,MEDIUM,13.0,1,False
0 days 01:30:12.595000,VER,0 days 00:01:59.754000,14.0,1.0,MEDIUM,14.0,167,False
0 days 01:31:50.968000,VER,0 days 00:01:38.373000,15.0,1.0,MEDIUM,15.0,1,False
0 days 01:33:32.140000,VER,0 days 00:01:41.172000,16.0,1.0,MEDIUM,16.0,1,False
0 days 01:35:30.165000,VER,0 days 00:01:58.025000,17.0,2.0,MEDIUM,1.0,1,False
0 days 01:37:07.564000,VER,0 days 00:01:37.399000,18.0,2.0,MEDIUM,2.0,1,False
0 days 01:38:45.333000,VER,0 days 00:01:37.769000,19.0,2.0,MEDIUM,3.0,1,False
0 days 01:40:22.677000,VER,0 days 00:01:37.344000,20.0,2.0,MEDIUM,4.0,1,False
0 days 01:42:00.242000,VER,0 days 00:01:37.565000,21.0,2.0,MEDIUM,5.0,1,False
0 days 01:43:37.834000,VER,0 days 00:01:37.592000,22.0,2.0,MEDIUM,6.0,1,False
0 days 01:45:15.556000,VER,0 days 00:01:37.722000,23.0,2.0,MEDIUM,7.0,1,False
0 days 01:46:53.270000,VER,0 days 00:01:37.714000,24.0,2.0,MEDIUM,8.0,1,False
0 days 01:48:31.216000,VER,0 days 00:01:37.946000,25.0,2.0,MEDIUM,9.0,1,False
0 days 01:50:09.119000,VER,0 days 00:01:37.903000,26.0,2.0,MEDIUM,10.0,1,False
0 days 01:51:46.984000,VER,0 days 00:01:37.865000,27.0,2.0,MEDIUM,11.0,1,False
0 days 01:53:24.542000,VER,0 days 00:01:37.558000,28.0,2.0,MEDIUM,12.0,1,False
0 days 01:55:01.966000,VER,0 days 00:01:37.424000,29.0,2.0,MEDIUM,13.0,1,False
0 days 01:56:39.565000,VER,0 days 00:01:37.599000,30.0,2.0,MEDIUM,14.0,1,False
0 days 01:58:17.164000,VER,0 days 00:01:37.599000,31.0,2.0,MEDIUM,15.0,1,False
0 days 01:59:55.084000,VER,0 days 00:01:37.920000,32.0,2.0,MEDIUM,16.0,1,False
0 days 02:01:32.739000,VER,0 days 00:01:37.655000,33.0,2.0,MEDIUM,17.0,1,False
0 days 02:03:10.472000,VER,0 days 00:01:37.733000,34.0,2.0,MEDIUM,18.0,1,False
0 days 02:04:48.260000,VER,0 days 00:01:37.788000,35.0,2.0,MEDIUM,19.0,1,False
0 days 02:06:26.080000,VER,0 days 00:01:37.820000,36.0,2.0,MEDIUM,20.0,1,False
