Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest,LapTime_Seconds,RollingAvgLapTime,BaselineLapTime,LapTimeDelta,DegradationRate,AirTemp,TrackTemp,Humidity,WindSpeed
0 days 01:15:06.422000,VER,0 days 00:01:36.748000,5.0,1.0,MEDIUM,5.0,1,True,96.74799999999999,96.74799999999999,98.241,-1.4930000000000092,,27.2,43.0,42.0,3.0
0 days 01:15:08.158000,NOR,0 days 00:01:37.660000,5.0,1.0,MEDIUM,5.0,1,True,97.66,97.66,98.578,-0.9180000000000064,,27.2,43.0,42.0,3.0
0 days 01:15:09.698000,PIA,0 days 00:01:38.676000,5.0,1.0,MEDIUM,5.0,1,True,98.676,98.676,99.15,-0.47400000000000375,,27.2,43.0,42.0,3.0
0 days 01:15:10.364000,LEC,0 days 00:01:38.805000,5.0,1.0,MEDIUM,5.0,1,True,98.805,98.805,99.083,-0.2779999999999916,,27.2,43.0,42.0,3.0
0 days 01:15:10.963000,SAI,0 days 00:01:38.962000,5.0,1.0,MEDIUM,5.0,1,True,98.962,98.962,99.168,-0.20600000000000307,,27.2,43.0,42.0,3.0
0 days 01:15:11.733000,ALO,0 days 00:01:39.508000,5.0,1.0,SOFT,8.0,1,True,99.50800000000001,99.50800000000001,99.884,-0.37599999999999056,,27.2,43.0,42.0,3.0
0 days 01:15:13.046000,RUS,0 days 00:01:39.465000,5.0,1.0,MEDIUM,5.0,1,True,99.465,99.465,99.767,-0.3019999999999925,,27.2,43.0,42.0,3.0
0 days 01:15:13.199000,HAM,0 days 00:01:40.176000,5.0,1.0,MEDIUM,5.0,1,True,100.176,100.176,99.706,0.46999999999999886,,27.2,43.0,42.0,3.0
0 days 01:15:13.548000,LAW,0 days 00:01:39.472000,5.0,1.0,SOFT,5.0,1,True,99.47200000000001,99.47200000000001,100.245,-0.7729999999999961,,27.2,43.0,42.0,3.0
0 days 01:15:14.981000,TSU,0 days 00:01:40.385000,5.0,1.0,SOFT,8.0,1,True,100.38499999999999,100.38499999999999,102.396,-2.01100000000001,,27.2,43.0,42.0,3.0
0 days 01:15:15.643000,STR,0 days 00:01:40.379000,5.0,1.0,SOFT,5.0,1,True,100.37899999999999,100.37899999999999,100.376,0.002999999999985903,,27.2,43.0,42.0,3.0
0 days 01:15:16.048000,HUL,0 days 00:01:40.552000,5.0,1.0,SOFT,5.0,1,True,100.55199999999999,100.55199999999999,100.55199999999999,0.0,,27.2,43.0,42.0,3.0
0 days 01:15:16.557000,GAS,0 days 00:01:40.270000,5.0,1.0,MEDIUM,5.0,1,True,100.27000000000001,100.27000000000001,99.96000000000001,0.3100000000000023,,27.2,43.0,42.0,3.0
0 days 01:15:17.159000,MAG,0 days 00:01:40.348000,5.0,1.0,MEDIUM,5.0,1,True,100.348,100.348,100.318,0.030000000000001137,,27.2,43.0,42.0,3.0
0 days 01:15:17.632000,OCO,0 days 00:01:40.016000,5.0,2.0,HARD,4.0,1,True,100.01599999999999,100.01599999999999,100.497,-0.48100000000000875,,27.2,43.0,42.0,3.0
0 days 01:15:17.932000,ZHO,0 days 00:01:40.207000,5.0,2.0,SOFT,4.0,1,True,100.207,100.207,100.91499999999999,-0.7079999999999984,,27.2,43.0,42.0,3.0
0 days 01:15:18.964000,PER,0 days 00:01:39.985000,5.0,2.0,HARD,3.0,1,True,99.985,99.985,100.46600000000001,-0.48100000000000875,,27.2,43.0,42.0,3.0
0 days 01:15:19.822000,ALB,0 days 00:01:41.436000,5.0,2.0,MEDIUM,4.0,1,True,101.436,101.436,100.76400000000001,0.671999999999997,,27.2,43.0,42.0,3.0
0 days 01:15:24.546000,SAR,0 days 00:01:44.961000,5.0,2.0,MEDIUM,5.0,1,False,104.961,104.961,104.961,0.0,,27.2,43.0,42.0,3.0
0 days 01:16:44.259000,VER,0 days 00:01:37.837000,6.0,1.0,MEDIUM,6.0,1,False,97.837,97.29249999999999,98.241,-0.40399999999999636,1.0890000000000128,27.1,42.4,43.0,2.4
0 days 01:16:46.316000,NOR,0 days 00:01:38.158000,6.0,1.0,MEDIUM,6.0,1,False,98.158,97.90899999999999,98.578,-0.4200000000000017,0.49800000000000466,27.1,42.4,43.0,2.4
0 days 01:16:48.518000,PIA,0 days 00:01:38.820000,6.0,1.0,MEDIUM,6.0,1,False,98.82,98.74799999999999,99.15,-0.3300000000000125,0.14399999999999125,27.1,42.4,43.0,2.4
0 days 01:16:49.288000,LEC,0 days 00:01:38.924000,6.0,1.0,MEDIUM,6.0,1,False,98.924,98.8645,99.083,-0.15899999999999181,0.11899999999999977,27.1,42.4,43.0,2.4
0 days 01:16:50.133000,SAI,0 days 00:01:39.170000,6.0,1.0,MEDIUM,6.0,1,False,99.17,99.066,99.168,0.001999999999995339,0.2079999999999984,27.1,42.4,43.0,2.4
0 days 01:16:51.221000,ALO,0 days 00:01:39.488000,6.0,1.0,SOFT,9.0,1,True,99.488,99.498,99.884,-0.3960000000000008,-0.020000000000010232,27.1,42.4,43.0,2.4
0 days 01:16:51.985000,HAM,0 days 00:01:38.786000,6.0,1.0,MEDIUM,6.0,1,True,98.786,99.481,99.706,-0.9200000000000017,-1.3900000000000006,27.1,42.4,43.0,2.4
0 days 01:16:52.564000,RUS,0 days 00:01:39.518000,6.0,1.0,MEDIUM,6.0,1,False,99.518,99.4915,99.767,-0.24899999999999523,0.05299999999999727,27.1,42.8,42.0,1.3
0 days 01:16:53.473000,LAW,0 days 00:01:39.925000,6.0,1.0,SOFT,6.0,1,False,99.925,99.6985,100.245,-0.3200000000000074,0.45299999999998875,27.1,42.8,42.0,1.3
0 days 01:16:54.947000,TSU,0 days 00:01:39.966000,6.0,1.0,SOFT,9.0,1,True,99.96600000000001,100.1755,102.396,-2.4299999999999926,-0.4189999999999827,27.1,42.8,42.0,1.3
0 days 01:16:55.492000,STR,0 days 00:01:39.849000,6.0,1.0,SOFT,6.0,1,True,99.84899999999999,100.11399999999999,100.376,-0.5270000000000152,-0.5300000000000011,27.1,42.8,42.0,1.3
0 days 01:16:56.162000,HUL,0 days 00:01:40.114000,6.0,1.0,SOFT,6.0,1,True,100.114,100.333,100.55199999999999,-0.4379999999999882,-0.4379999999999882,27.1,42.8,42.0,1.3
0 days 01:16:56.841000,GAS,0 days 00:01:40.284000,6.0,1.0,MEDIUM,6.0,1,False,100.28399999999999,100.277,99.96000000000001,0.32399999999998386,0.013999999999981583,27.1,42.8,42.0,1.3
0 days 01:16:57.526000,MAG,0 days 00:01:40.367000,6.0,1.0,MEDIUM,6.0,1,False,100.36699999999999,100.35749999999999,100.318,0.04899999999999238,0.018999999999991246,27.1,42.8,42.0,1.3
0 days 01:16:58.110000,OCO,0 days 00:01:40.478000,6.0,2.0,HARD,5.0,1,False,100.47800000000001,100.247,100.497,-0.018999999999991246,0.4620000000000175,27.1,42.8,42.0,1.3
0 days 01:16:59.269000,ZHO,0 days 00:01:41.337000,6.0,2.0,SOFT,5.0,1,False,101.337,100.77199999999999,100.91499999999999,0.42200000000001125,1.1300000000000097,27.1,42.8,42.0,1.3
