Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 01:04:22.777000,PER,,1.0,1.0,MEDIUM,1.0,1,False
0 days 01:05:56.740000,PER,0 days 00:01:33.963000,2.0,1.0,MEDIUM,2.0,1,True
0 days 01:07:30.256000,PER,0 days 00:01:33.516000,3.0,1.0,MEDIUM,3.0,1,True
0 days 01:09:03.335000,PER,0 days 00:01:33.079000,4.0,1.0,MEDIUM,4.0,1,True
0 days 01:10:36.593000,PER,0 days 00:01:33.258000,5.0,1.0,MEDIUM,5.0,1,False
0 days 01:12:09.955000,PER,0 days 00:01:33.362000,6.0,1.0,MEDIUM,6.0,1,False
0 days 01:13:42.820000,PER,0 days 00:01:32.865000,7.0,1.0,MEDIUM,7.0,1,True
0 days 01:15:15.962000,PER,0 days 00:01:33.142000,8.0,1.0,MEDIUM,8.0,1,False
0 days 01:16:49.058000,PER,0 days 00:01:33.096000,9.0,1.0,MEDIUM,9.0,1,False
0 days 01:18:21.657000,PER,0 days 00:01:32.599000,10.0,1.0,MEDIUM,10.0,1,True
0 days 01:19:54.135000,PER,0 days 00:01:32.478000,11.0,1.0,MEDIUM,11.0,1,True
0 days 01:21:26.505000,PER,0 days 00:01:32.370000,12.0,1.0,MEDIUM,12.0,1,True
0 days 01:22:58.421000,PER,0 days 00:01:31.916000,13.0,1.0,MEDIUM,13.0,1,True
0 days 01:24:31.045000,PER,0 days 00:01:32.624000,14.0,1.0,MEDIUM,14.0,1,False
0 days 01:26:03.648000,PER,0 days 00:01:32.603000,15.0,1.0,MEDIUM,15.0,1,False
0 days 01:27:36.711000,PER,0 days 00:01:33.063000,16.0,1.0,MEDIUM,16.0,1,False
0 days 01:29:09.614000,PER,0 days 00:01:32.903000,17.0,1.0,MEDIUM,17.0,1,False
0 days 01:30:42.105000,PER,0 days 00:01:32.491000,18.0,1.0,MEDIUM,18.0,1,False
0 days 01:32:14.805000,PER,0 days 00:01:32.700000,19.0,1.0,MEDIUM,19.0,1,False
0 days 01:33:52.668000,PER,0 days 00:01:37.863000,20.0,1.0,MEDIUM,20.0,1,False
0 days 01:35:39.494000,PER,0 days 00:01:46.826000,21.0,2.0,HARD,1.0,1,False
0 days 01:37:11.027000,PER,0 days 00:01:31.533000,22.0,2.0,HARD,2.0,1,True
0 days 01:38:42.891000,PER,0 days 00:01:31.864000,23.0,2.0,HARD,3.0,1,False
0 days 01:40:14.337000,PER,0 days 00:01:31.446000,24.0,2.0,HARD,4.0,1,True
0 days 01:41:45.781000,PER,0 days 00:01:31.444000,25.0,2.0,HARD,5.0,1,True
0 days 01:43:17.368000,PER,0 days 00:01:31.587000,26.0,2.0,HARD,6.0,1,False
0 days 01:44:49.220000,PER,0 days 00:01:31.852000,27.0,2.0,HARD,7.0,1,False
0 days 01:46:20.817000,PER,0 days 00:01:31.597000,28.0,2.0,HARD,8.0,1,False
0 days 01:47:52.400000,PER,0 days 00:01:31.583000,29.0,2.0,HARD,9.0,1,False
0 days 01:49:23.890000,PER,0 days 00:01:31.490000,30.0,2.0,HARD,10.0,1,False
0 days 01:50:56.001000,PER,0 days 00:01:32.111000,31.0,2.0,HARD,11.0,1,False
0 days 01:52:27.384000,PER,0 days 00:01:31.383000,32.0,2.0,HARD,12.0,1,True
0 days 01:53:59.175000,PER,0 days 00:01:31.791000,33.0,2.0,HARD,13.0,1,False
0 days 01:55:30.585000,PER,0 days 00:01:31.410000,34.0,2.0,HARD,14.0,1,False
0 days 01:57:01.911000,PER,0 days 00:01:31.326000,35.0,2.0,HARD,15.0,1,True
0 days 01:58:33.103000,PER,0 days 00:01:31.192000,36.0,2.0,HARD,16.0,1,True
0 days 02:00:04.538000,PER,0 days 00:01:31.435000,37.0,2.0,HARD,17.0,1,False
0 days 02:01:36.852000,PER,0 days 00:01:32.314000,38.0,2.0,HARD,18.0,1,False
0 days 02:03:08.607000,PER,0 days 00:01:31.755000,39.0,2.0,HARD,19.0,1,False
0 days 02:04:40.247000,PER,0 days 00:01:31.640000,40.0,2.0,HARD,20.0,1,False
0 days 02:06:11.753000,PER,0 days 00:01:31.506000,41.0,2.0,HARD,21.0,1,False
0 days 02:07:43.067000,PER,0 days 00:01:31.314000,42.0,2.0,HARD,22.0,1,False
0 days 02:09:14.281000,PER,0 days 00:01:31.214000,43.0,2.0,HARD,23.0,1,False
0 days 02:10:45.178000,PER,0 days 00:01:30.897000,44.0,2.0,HARD,24.0,1,True
0 days 02:12:16.469000,PER,0 days 00:01:31.291000,45.0,2.0,HARD,25.0,1,False
0 days 02:13:48.028000,PER,0 days 00:01:31.559000,46.0,2.0,HARD,26.0,1,False
0 days 02:15:19.811000,PER,0 days 00:01:31.783000,47.0,2.0,HARD,27.0,1,False
0 days 02:16:52.145000,PER,0 days 00:01:32.334000,48.0,2.0,HARD,28.0,1,False
0 days 02:18:23.142000,PER,0 days 00:01:30.997000,49.0,2.0,HARD,29.0,1,False
0 days 02:19:54.178000,PER,0 days 00:01:31.036000,50.0,2.0,HARD,30.0,1,False
0 days 02:21:25.425000,PER,0 days 00:01:31.247000,51.0,2.0,HARD,31.0,1,False
0 days 02:22:56.114000,PER,0 days 00:01:30.689000,52.0,2.0,HARD,32.0,1,True
0 days 02:24:26.802000,PER,0 days 00:01:30.688000,53.0,2.0,HARD,33.0,1,True
0 days 02:25:57.518000,PER,0 days 00:01:30.716000,54.0,2.0,HARD,34.0,1,False
0 days 02:27:28.153000,PER,0 days 00:01:30.635000,55.0,2.0,HARD,35.0,1,True
0 days 02:28:59.651000,PER,0 days 00:01:31.498000,56.0,2.0,HARD,36.0,1,False
0 days 02:30:30.211000,PER,0 days 00:01:30.560000,57.0,2.0,HARD,37.0,1,True
0 days 01:04:23.834000,ALO,,1.0,1.0,MEDIUM,2.0,1,False
0 days 01:05:58.009000,ALO,0 days 00:01:34.175000,2.0,1.0,MEDIUM,3.0,1,True
0 days 01:07:31.267000,ALO,0 days 00:01:33.258000,3.0,1.0,MEDIUM,4.0,1,True
0 days 01:09:04.739000,ALO,0 days 00:01:33.472000,4.0,1.0,MEDIUM,5.0,1,False
0 days 01:10:38.495000,ALO,0 days 00:01:33.756000,5.0,1.0,MEDIUM,6.0,1,False
0 days 01:12:11.437000,ALO,0 days 00:01:32.942000,6.0,1.0,MEDIUM,7.0,1,True
