Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest,LapTime_Seconds,RollingAvgLapTime,BaselineLapTime,LapTimeDelta,DegradationRate,AirTemp,TrackTemp,Humidity,WindSpeed
0 days 01:05:56.740000,PER,0 days 00:01:33.963000,2.0,1.0,MEDIUM,2.0,1,True,93.963,93.963,93.362,0.6009999999999991,,26.7,33.9,60.0,4.1
0 days 01:05:58.009000,ALO,0 days 00:01:34.175000,2.0,1.0,MEDIUM,3.0,1,True,94.175,94.175,92.94200000000001,1.2329999999999899,,26.7,33.9,60.0,4.1
0 days 01:05:58.879000,SAI,0 days 00:01:34.215000,2.0,1.0,MEDIUM,2.0,1,True,94.215,94.215,92.84899999999999,1.3660000000000139,,26.7,33.9,60.0,4.1
0 days 01:05:59.516000,GAS,0 days 00:01:34.166000,2.0,1.0,MEDIUM,2.0,1,True,94.166,94.166,93.404,0.7620000000000005,,26.7,33.9,60.0,4.1
0 days 01:06:00.208000,RUS,0 days 00:01:34.155000,2.0,1.0,MEDIUM,2.0,1,True,94.155,94.155,93.305,0.8499999999999943,,26.7,33.9,60.0,4.1
0 days 01:06:01.608000,LEC,0 days 00:01:34.620000,2.0,1.0,MEDIUM,2.0,1,True,94.62,94.62,93.619,1.0010000000000048,,26.7,33.9,60.0,4.1
0 days 01:06:02.003000,MAG,0 days 00:01:34.557000,2.0,1.0,MEDIUM,2.0,1,True,94.557,94.557,93.595,0.9620000000000033,,26.7,33.9,60.0,4.1
0 days 01:06:02.570000,VER,0 days 00:01:34.260000,2.0,1.0,HARD,2.0,1,True,94.25999999999999,94.25999999999999,92.753,1.5069999999999908,,26.7,33.9,60.0,4.1
0 days 01:06:03.523000,BOT,0 days 00:01:35.623000,2.0,1.0,MEDIUM,2.0,1,True,95.62299999999999,95.62299999999999,93.821,1.8019999999999925,,26.7,33.9,60.0,4.1
0 days 01:06:03.977000,OCO,0 days 00:01:35.207000,2.0,1.0,HARD,2.0,1,True,95.207,95.207,93.521,1.6859999999999928,,26.7,33.9,60.0,4.1
0 days 01:06:04.622000,HUL,0 days 00:01:35.313000,2.0,1.0,HARD,2.0,1,True,95.313,95.313,93.83500000000001,1.4779999999999944,,26.7,33.9,60.0,4.1
0 days 01:06:05.109000,ALB,0 days 00:01:35.177000,2.0,1.0,MEDIUM,2.0,1,True,95.17699999999999,95.17699999999999,93.689,1.4879999999999995,,26.7,33.9,60.0,4.1
0 days 01:06:05.864000,HAM,0 days 00:01:34.915000,2.0,1.0,HARD,2.0,1,True,94.91499999999999,94.91499999999999,93.916,0.9989999999999952,,26.7,33.9,60.0,4.1
0 days 01:06:06.918000,PIA,0 days 00:01:35.574000,2.0,1.0,SOFT,2.0,1,True,95.574,95.574,95.574,0.0,,26.7,33.9,60.0,4.1
0 days 01:06:07.635000,TSU,0 days 00:01:35.313000,2.0,1.0,HARD,2.0,1,True,95.313,95.313,93.59100000000001,1.7219999999999942,,26.7,33.9,60.0,4.1
