Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest,LapTime_Seconds,RollingAvgLapTime,BaselineLapTime,LapTimeDelta,DegradationRate,AirTemp,TrackTemp,Humidity,WindSpeed
0 days 01:04:46.825000,VER,0 days 00:01:19.367000,2.0,1.0,MEDIUM,2.0,1,True,79.367,79.367,77.64,1.7270000000000039,,25.2,42.8,45.0,0.8
0 days 01:04:48.393000,ALO,0 days 00:01:19.646000,2.0,1.0,HARD,3.0,1,True,79.646,79.646,77.952,1.6940000000000026,,25.2,42.8,45.0,0.8
0 days 01:04:50.160000,OCO,0 days 00:01:20.301000,2.0,1.0,MEDIUM,2.0,1,True,80.301,80.301,78.731,1.5700000000000074,,25.2,42.8,45.0,0.8
0 days 01:04:51.203000,SAI,0 days 00:01:20.593000,2.0,1.0,HARD,2.0,1,True,80.593,80.593,78.764,1.8290000000000077,,25.2,42.8,45.0,0.8
0 days 01:04:52.332000,HAM,0 days 00:01:20.527000,2.0,1.0,MEDIUM,2.0,1,True,80.527,80.527,78.958,1.5690000000000026,,25.2,42.8,45.0,0.8
0 days 01:04:52.877000,LEC,0 days 00:01:20.549000,2.0,1.0,HARD,2.0,1,True,80.549,80.549,78.82900000000001,1.7199999999999989,,25.2,42.8,45.0,0.8
0 days 01:04:53.557000,GAS,0 days 00:01:20.636000,2.0,1.0,HARD,2.0,1,True,80.636,80.636,78.842,1.793999999999997,,25.2,42.8,45.0,0.8
0 days 01:04:54.762000,RUS,0 days 00:01:21.155000,2.0,1.0,HARD,2.0,1,True,81.155,81.155,78.945,2.210000000000008,,25.2,42.8,45.0,0.8
0 days 01:04:55.825000,TSU,0 days 00:01:21.288000,2.0,1.0,MEDIUM,2.0,1,True,81.288,81.288,78.73,2.5579999999999927,,25.2,42.8,45.0,0.8
0 days 01:04:56.864000,NOR,0 days 00:01:21.610000,2.0,1.0,MEDIUM,2.0,1,True,81.61,81.61,79.045,2.5649999999999977,,25.2,42.8,45.0,0.8
0 days 01:04:58.094000,PIA,0 days 00:01:21.804000,2.0,1.0,HARD,2.0,1,True,81.804,81.804,79.247,2.557000000000002,,25.2,42.8,45.0,0.8
0 days 01:04:58.433000,DEV,0 days 00:01:21.764000,2.0,1.0,MEDIUM,2.0,1,True,81.764,81.764,79.224,2.539999999999992,,25.2,42.8,45.0,0.8
0 days 01:04:58.813000,ALB,0 days 00:01:20.977000,2.0,1.0,MEDIUM,2.0,1,True,80.977,80.977,79.16499999999999,1.8120000000000118,,25.2,42.8,45.0,0.8
0 days 01:05:00.155000,BOT,0 days 00:01:20.021000,2.0,1.0,HARD,2.0,1,True,80.021,80.021,79.16499999999999,0.8560000000000088,,25.2,42.8,45.0,0.8
0 days 01:05:00.567000,SAR,0 days 00:01:19.658000,2.0,1.0,MEDIUM,2.0,1,True,79.658,79.658,79.312,0.34600000000000364,,25.2,42.8,45.0,0.8
0 days 01:05:01.820000,MAG,0 days 00:01:20.175000,2.0,1.0,HARD,2.0,1,True,80.175,80.175,79.352,0.8229999999999933,,25.2,42.8,45.0,0.8
0 days 01:05:02.771000,STR,0 days 00:01:19.989000,2.0,1.0,HARD,3.0,1,True,79.989,79.989,79.785,0.20400000000000773,,25.2,42.8,45.0,0.8
0 days 01:05:21.114000,PER,0 days 00:01:19.704000,2.0,2.0,HARD,1.0,1,False,79.70400000000001,79.70400000000001,76.458,3.2460000000000093,,25.3,42.8,45.0,1.0
0 days 01:05:22.762000,ZHO,0 days 00:01:20.757000,2.0,2.0,HARD,1.0,1,False,80.757,80.757,77.205,3.5520000000000067,,25.3,42.8,45.0,1.0
0 days 01:05:23.746000,HUL,0 days 00:01:20.434000,2.0,2.0,HARD,1.0,1,False,80.434,80.434,76.991,3.442999999999998,,25.3,42.8,45.0,1.0
0 days 01:06:05.899000,VER,0 days 00:01:19.074000,3.0,1.0,MEDIUM,3.0,1,True,79.074,79.2205,77.64,1.4339999999999975,-0.29300000000000637,25.3,42.8,45.0,1.0
0 days 01:06:07.506000,ALO,0 days 00:01:19.113000,3.0,1.0,HARD,4.0,1,True,79.113,79.37950000000001,77.952,1.1610000000000014,-0.5330000000000013,25.3,42.8,45.0,1.0
0 days 01:06:09.864000,OCO,0 days 00:01:19.704000,3.0,1.0,MEDIUM,3.0,1,True,79.70400000000001,80.0025,78.731,0.9730000000000132,-0.5969999999999942,25.3,42.8,45.0,1.0
0 days 01:06:11.161000,SAI,0 days 00:01:19.958000,3.0,1.0,HARD,3.0,1,True,79.958,80.2755,78.764,1.1940000000000026,-0.6350000000000051,25.3,42.8,45.0,1.0
0 days 01:06:12.437000,HAM,0 days 00:01:20.105000,3.0,1.0,MEDIUM,3.0,1,True,80.105,80.316,78.958,1.1470000000000056,-0.42199999999999704,25.3,42.8,45.0,1.0
0 days 01:06:12.898000,LEC,0 days 00:01:20.021000,3.0,1.0,HARD,3.0,1,True,80.021,80.285,78.82900000000001,1.191999999999993,-0.5280000000000058,25.4,42.8,45.0,1.0
0 days 01:06:13.839000,GAS,0 days 00:01:20.282000,3.0,1.0,HARD,3.0,1,True,80.282,80.459,78.842,1.4399999999999977,-0.3539999999999992,25.4,42.8,45.0,1.0
0 days 01:06:15.053000,RUS,0 days 00:01:20.291000,3.0,1.0,HARD,3.0,1,True,80.291,80.723,78.945,1.3460000000000036,-0.8640000000000043,25.4,42.8,45.0,1.0
0 days 01:06:16.106000,TSU,0 days 00:01:20.281000,3.0,1.0,MEDIUM,3.0,1,True,80.281,80.78450000000001,78.73,1.551000000000002,-1.0069999999999908,25.4,42.8,45.0,1.0
0 days 01:06:17.260000,NOR,0 days 00:01:20.396000,3.0,1.0,MEDIUM,3.0,1,True,80.396,81.003,79.045,1.350999999999999,-1.2139999999999986,25.4,42.8,45.0,1.0
0 days 01:06:18.626000,PIA,0 days 00:01:20.532000,3.0,1.0,HARD,3.0,1,True,80.532,81.168,79.247,1.2849999999999966,-1.2720000000000056,25.4,42.8,45.0,1.0
0 days 01:06:19.013000,DEV,0 days 00:01:20.580000,3.0,1.0,MEDIUM,3.0,1,True,80.58,81.172,79.224,1.3559999999999945,-1.1839999999999975,25.4,42.8,45.0,1.0
0 days 01:06:19.516000,ALB,0 days 00:01:20.703000,3.0,1.0,MEDIUM,3.0,1,True,80.703,80.84,79.16499999999999,1.538000000000011,-0.2740000000000009,25.4,42.8,45.0,1.0
0 days 01:06:20.297000,BOT,0 days 00:01:20.142000,3.0,1.0,HARD,3.0,1,False,80.142,80.0815,79.16499999999999,0.9770000000000039,0.12099999999999511,25.4,42.8,45.0,1.0
0 days 01:06:20.786000,SAR,0 days 00:01:20.219000,3.0,1.0,MEDIUM,3.0,1,False,80.219,79.9385,79.312,0.9069999999999965,0.5609999999999928,25.4,42.8,45.0,1.0
0 days 01:06:21.749000,MAG,0 days 00:01:19.929000,3.0,1.0,HARD,3.0,1,True,79.929,80.05199999999999,79.352,0.5769999999999982,-0.2459999999999951,25.4,42.8,45.0,1.0
0 days 01:06:22.699000,STR,0 days 00:01:19.928000,3.0,1.0,HARD,4.0,1,True,79.928,79.9585,79.785,0.14300000000000068,-0.06100000000000705,25.4,42.8,45.0,1.0
0 days 01:06:37.501000,PER,0 days 00:01:16.387000,3.0,2.0,HARD,2.0,1,True,76.387,78.0455,76.458,-0.07099999999999795,-3.3170000000000073,25.4,42.8,45.0,1.0
0 days 01:06:39.765000,ZHO,0 days 00:01:17.003000,3.0,2.0,HARD,2.0,1,True,77.003,78.88,77.205,-0.20199999999999818,-3.754000000000005,25.4,42.8,45.0,1.0
0 days 01:06:40.967000,HUL,0 days 00:01:17.221000,3.0,2.0,HARD,2.0,1,False,77.221,78.8275,76.991,0.23000000000000398,-3.212999999999994,25.4,42.8,45.0,1.0
0 days 01:07:24.028000,VER,0 days 00:01:18.129000,4.0,1.0,MEDIUM,4.0,1,True,78.129,78.85666666666667,77.64,0.4890000000000043,-0.9449999999999932,25.5,42.4,44.0,1.3
0 days 01:07:26.282000,ALO,0 days 00:01:18.776000,4.0,1.0,HARD,5.0,1,True,78.776,79.17833333333333,77.952,0.8239999999999981,-0.3370000000000033,25.5,42.4,44.0,1.3
0 days 01:07:29.178000,OCO,0 days 00:01:19.314000,4.0,1.0,MEDIUM,4.0,1,True,79.314,79.77300000000001,78.731,0.5829999999999984,-0.3900000000000148,25.5,42.4,44.0,1.3
0 days 01:07:30.643000,SAI,0 days 00:01:19.482000,4.0,1.0,HARD,4.0,1,True,79.482,80.01100000000001,78.764,0.7180000000000035,-0.4759999999999991,25.5,42.4,44.0,1.3
0 days 01:07:31.793000,HAM,0 days 00:01:19.356000,4.0,1.0,MEDIUM,4.0,1,True,79.356,79.996,78.958,0.39799999999999613,-0.7490000000000094,25.5,42.4,44.0,1.3
0 days 01:07:32.366000,LEC,0 days 00:01:19.468000,4.0,1.0,HARD,4.0,1,True,79.468,80.01266666666668,78.82900000000001,0.6389999999999958,-0.5529999999999973,25.5,42.4,44.0,1.3
0 days 01:07:33.416000,GAS,0 days 00:01:19.577000,4.0,1.0,HARD,4.0,1,True,79.577,80.165,78.842,0.7349999999999994,-0.7049999999999983,25.5,42.4,44.0,1.3
0 days 01:07:35.083000,RUS,0 days 00:01:20.030000,4.0,1.0,HARD,4.0,1,True,80.03,80.492,78.945,1.085000000000008,-0.2609999999999957,25.5,42.4,44.0,1.3
0 days 01:07:36.138000,TSU,0 days 00:01:20.032000,4.0,1.0,MEDIUM,4.0,1,True,80.032,80.53366666666666,78.73,1.3019999999999925,-0.24900000000000944,25.5,42.4,44.0,1.3
0 days 01:07:37.469000,NOR,0 days 00:01:20.209000,4.0,1.0,MEDIUM,4.0,1,True,80.209,80.73833333333333,79.045,1.1640000000000015,-0.1869999999999976,25.5,42.4,44.0,1.3
0 days 01:07:39.034000,PIA,0 days 00:01:20.408000,4.0,1.0,HARD,4.0,1,True,80.408,80.91466666666666,79.247,1.1610000000000014,-0.12399999999999523,25.5,42.4,44.0,1.3
0 days 01:07:39.389000,DEV,0 days 00:01:20.376000,4.0,1.0,MEDIUM,4.0,1,True,80.376,80.90666666666667,79.224,1.152000000000001,-0.20399999999999352,25.5,42.4,44.0,1.3
0 days 01:07:39.792000,ALB,0 days 00:01:20.276000,4.0,1.0,MEDIUM,4.0,1,True,80.276,80.652,79.16499999999999,1.1110000000000042,-0.4270000000000067,25.5,42.4,44.0,1.3
0 days 01:07:40.638000,BOT,0 days 00:01:20.341000,4.0,1.0,HARD,4.0,1,False,80.34100000000001,80.168,79.16499999999999,1.1760000000000161,0.19900000000001228,25.5,42.4,44.0,1.3
0 days 01:07:41.032000,SAR,0 days 00:01:20.246000,4.0,1.0,MEDIUM,4.0,1,False,80.246,80.041,79.312,0.9339999999999975,0.027000000000001023,25.5,42.4,44.0,1.3
0 days 01:07:42.156000,MAG,0 days 00:01:20.407000,4.0,1.0,HARD,4.0,1,False,80.407,80.17033333333333,79.352,1.0549999999999926,0.47799999999999443,25.5,42.4,44.0,1.3
0 days 01:07:42.697000,STR,0 days 00:01:19.998000,4.0,1.0,HARD,5.0,1,False,79.998,79.97166666666668,79.785,0.21300000000000807,0.07000000000000739,25.5,42.4,44.0,1.3
0 days 01:07:54.036000,PER,0 days 00:01:16.535000,4.0,2.0,HARD,3.0,1,False,76.535,77.542,76.458,0.07699999999999818,0.14799999999999613,25.5,42.4,44.0,1.3
0 days 01:07:56.711000,ZHO,0 days 00:01:16.946000,4.0,2.0,HARD,3.0,1,True,76.946,78.23533333333334,77.205,-0.25900000000000034,-0.05700000000000216,25.5,42.4,44.0,1.3
0 days 01:07:58.115000,HUL,0 days 00:01:17.148000,4.0,2.0,HARD,3.0,1,True,77.148,78.26766666666667,76.991,0.15699999999999648,-0.0730000000000075,25.5,42.4,44.0,1.3
0 days 01:08:42.047000,VER,0 days 00:01:18.019000,5.0,1.0,MEDIUM,5.0,1,True,78.019,78.40733333333333,77.64,0.3790000000000049,-0.10999999999999943,25.4,42.4,44.0,1.0
0 days 01:08:44.221000,ALO,0 days 00:01:17.939000,5.0,1.0,HARD,6.0,1,True,77.939,78.60933333333334,77.952,-0.01300000000000523,-0.8370000000000033,25.4,42.4,44.0,1.0
0 days 01:08:48.219000,OCO,0 days 00:01:19.041000,5.0,1.0,MEDIUM,5.0,1,True,79.041,79.35300000000001,78.731,0.3100000000000023,-0.27299999999999613,25.4,42.4,44.0,1.0
