Driver,Stint,Compound,TotalLaps,CleanLaps,FirstCleanLapTime,LastCleanLapTime,TotalDegradation_Seconds,DegradationPerLap_Seconds,LinearDegradationRate,AvgTrackTemp,AvgAirTemp,StartLap,EndLap
VER,1,MEDIUM,53,51,78.129,98.946,20.816999999999993,0.40817647058823514,0.08978914027149308,38.57169811320755,25.296226415094342,2,54
VER,2,INTERMEDIATE,23,21,102.80799999999999,85.201,-17.607,-0.8384285714285714,-0.9967493506493507,29.378260869565214,23.62608695652174,56,78
ALO,1,HARD,53,51,78.776,110.311,31.53500000000001,0.6183333333333335,0.11325457013574682,38.56603773584906,25.292452830188683,2,54
ALO,3,INTERMEDIATE,23,21,101.267,85.668,-15.59899999999999,-0.7428095238095234,-0.9359922077922062,29.256521739130438,23.617391304347823,56,78
OCO,1,MEDIUM,31,29,79.314,94.668,15.354000000000013,0.5294482758620694,0.053663546798029975,40.00322580645162,25.38064516129032,2,32
OCO,2,HARD,22,20,77.095,114.547,37.452,1.8725999999999998,0.8385015037593981,36.440909090909095,25.16818181818182,33,54
OCO,3,INTERMEDIATE,24,22,102.554,84.231,-18.323000000000008,-0.8328636363636367,-1.0768684359119123,29.508333333333336,23.662500000000005,55,78
SAI,1,HARD,32,30,79.482,93.612,14.129999999999995,0.47099999999999986,0.04450189098998728,39.953125,25.384375,2,33
SAI,2,MEDIUM,21,19,77.979,97.315,19.336,1.0176842105263157,0.617914035087718,36.33809523809524,25.152380952380955,34,54
SAI,3,INTERMEDIATE,23,21,103.462,86.283,-17.179000000000002,-0.8180476190476191,-1.0151454545454535,29.291304347826088,23.608695652173914,56,78
HAM,1,MEDIUM,30,28,79.356,95.467,16.111000000000004,0.5753928571428573,0.07399534756431364,40.056666666666665,25.37333333333333,2,31
HAM,2,HARD,23,21,78.357,115.14099999999999,36.78399999999999,1.7516190476190472,0.7357038961038964,36.51739130434783,25.186956521739127,32,54
HAM,3,INTERMEDIATE,24,22,103.27799999999999,85.105,-18.172999999999988,-0.826045454545454,-1.0809232072275523,29.4875,23.662500000000005,55,78
LEC,1,HARD,43,41,79.468,95.44200000000001,15.974000000000004,0.38960975609756104,0.026561149825783524,39.2093023255814,25.372093023255815,2,44
LEC,2,MEDIUM,10,8,76.358,95.725,19.36699999999999,2.4208749999999988,2.8446428571428597,35.63,24.97,45,54
LEC,3,INTERMEDIATE,23,21,103.473,86.939,-16.534000000000006,-0.7873333333333337,-0.9856142857142861,29.326086956521745,23.617391304347823,56,78
GAS,1,HARD,46,44,79.577,93.267,13.689999999999998,0.3111363636363636,0.009272868217053809,39.00217391304348,25.352173913043476,2,47
GAS,2,MEDIUM,6,4,75.955,95.781,19.826000000000008,4.956500000000002,6.5116,35.58333333333333,24.96666666666667,48,53
GAS,3,INTERMEDIATE,24,22,103.49600000000001,86.578,-16.918000000000006,-0.7690000000000002,-0.9920671936758879,29.520833333333332,23.65833333333333,55,78
RUS,1,HARD,53,51,80.03,117.545,37.515,0.7355882352941177,0.09930841628959258,38.52452830188679,25.29433962264151,2,54
RUS,2,INTERMEDIATE,24,22,103.554,87.209,-16.345,-0.7429545454545454,-0.9496047430830006,29.483333333333334,23.65416666666667,55,78
TSU,1,MEDIUM,51,49,80.032,92.268,12.236000000000004,0.2497142857142858,0.022430102040816937,38.64509803921568,25.305882352941175,2,52
TSU,2,INTERMEDIATE,22,20,102.479,94.205,-8.274000000000001,-0.41370000000000007,-0.8277759206059015,29.727272727272727,23.7,54,76
NOR,1,MEDIUM,49,47,80.209,95.97399999999999,15.764999999999986,0.3354255319148933,0.015104417206290986,38.77755102040817,25.320408163265302,2,50
NOR,2,HARD,3,1,92.162,92.162,0.0,0.0,0.0,35.13333333333333,24.866666666666664,51,53
NOR,3,INTERMEDIATE,23,21,100.42099999999999,86.888,-13.532999999999987,-0.6444285714285708,-0.9951415584415552,29.32608695652174,23.617391304347823,55,77
PIA,1,HARD,52,50,80.408,96.843,16.435000000000002,0.32870000000000005,0.049925378151260906,38.56346153846154,25.29615384615385,2,53
PIA,2,INTERMEDIATE,23,21,103.431,84.785,-18.646,-0.887904761904762,-1.0607805194805187,29.33913043478261,23.617391304347823,55,77
DEV,1,MEDIUM,52,50,80.376,118.795,38.419,0.76838,0.09990328931572719,38.53846153846154,25.292307692307695,2,53
DEV,2,INTERMEDIATE,24,22,104.12899999999999,88.038,-16.090999999999994,-0.7314090909090907,-0.9986177300959884,29.516666666666666,23.666666666666668,54,77
ALB,1,MEDIUM,17,15,80.276,98.414,18.138000000000005,1.2092000000000003,0.5399678571428538,40.800000000000004,25.358823529411765,2,18
ALB,2,HARD,34,32,77.131,115.852,38.721000000000004,1.2100312500000001,0.33249321847507335,37.45588235294117,25.279411764705884,19,52
ALB,3,INTERMEDIATE,25,23,105.721,87.816,-17.905,-0.7784782608695653,-0.9969594861660083,29.744000000000007,23.699999999999996,53,77
BOT,1,HARD,50,48,80.34100000000001,109.586,29.24499999999999,0.6092708333333331,0.05634704732956989,38.67,25.31,2,51
BOT,2,INTERMEDIATE,26,24,98.747,84.139,-14.608000000000004,-0.6086666666666668,-0.8140913043478237,29.98076923076923,23.746153846153845,52,77
SAR,1,MEDIUM,19,17,80.246,97.211,16.965000000000003,0.9979411764705884,0.4706397058823514,40.66842105263158,25.357894736842105,2,20
SAR,2,HARD,3,1,98.195,98.195,0.0,0.0,0.0,39.06666666666667,25.366666666666664,21,23
SAR,3,SOFT,29,27,78.033,117.918,39.885000000000005,1.4772222222222224,0.5348156288156296,37.10689655172414,25.26206896551724,24,52
SAR,4,INTERMEDIATE,24,22,101.078,89.076,-12.00200000000001,-0.545545454545455,-0.8517108977978511,29.670833333333334,23.691666666666666,53,76
MAG,1,HARD,53,51,80.407,110.77600000000001,30.369000000000014,0.5954705882352944,0.13268660633484092,38.45283018867924,25.279245283018863,2,54
MAG,2,WET,13,11,100.559,101.85300000000001,1.2940000000000111,0.11763636363636465,0.0868818181818249,28.315384615384612,23.400000000000002,57,70
STR,1,HARD,50,48,79.998,104.501,24.503,0.5104791666666667,0.04376150673035112,38.668,25.311999999999998,2,51
