Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest,LapTime_Seconds,RollingAvgLapTime,BaselineLapTime,LapTimeDelta,DegradationRate,AirTemp,TrackTemp,Humidity,WindSpeed
0 days 01:00:07.622000,NOR,0 days 00:01:48.349000,2.0,1.0,MEDIUM,2.0,126,True,108.34899999999999,108.34899999999999,89.361,18.987999999999985,,26.9,31.8,49.0,2.0
0 days 01:00:10.900000,SAI,0 days 00:01:49.770000,2.0,1.0,MEDIUM,2.0,126,True,109.77000000000001,109.77000000000001,89.253,20.51700000000001,,26.9,31.8,49.0,2.0
0 days 01:00:11.875000,GAS,0 days 00:01:49.760000,2.0,1.0,MEDIUM,2.0,126,True,109.75999999999999,109.75999999999999,90.014,19.745999999999995,,26.9,31.8,49.0,2.0
0 days 01:00:12.648000,RUS,0 days 00:01:49.838000,2.0,1.0,MEDIUM,3.0,126,True,109.838,109.838,89.791,20.046999999999997,,26.9,31.8,49.0,2.0
0 days 01:00:13.516000,HUL,0 days 00:01:49.887000,2.0,1.0,MEDIUM,2.0,126,True,109.887,109.887,89.787,20.099999999999994,,26.9,31.8,49.0,2.0
0 days 01:00:14.453000,ALO,0 days 00:01:50.156000,2.0,1.0,MEDIUM,3.0,126,True,110.156,110.156,89.82900000000001,20.326999999999998,,26.9,31.8,49.0,2.0
0 days 01:00:15.277000,MAG,0 days 00:01:50.197000,2.0,1.0,MEDIUM,2.0,126,True,110.197,110.197,90.186,20.010999999999996,,26.9,31.8,49.0,2.0
0 days 01:00:18.788000,LEC,0 days 00:01:53.013000,2.0,1.0,MEDIUM,2.0,126,True,113.013,113.013,89.997,23.016000000000005,,26.9,31.8,49.0,2.0
0 days 01:00:19.811000,STR,0 days 00:01:53.356000,2.0,1.0,MEDIUM,3.0,126,True,113.356,113.356,91.119,22.236999999999995,,26.9,31.8,49.0,2.0
0 days 01:00:21.296000,LAW,0 days 00:01:54.148000,2.0,1.0,MEDIUM,2.0,126,True,114.148,114.148,90.563,23.584999999999994,,26.9,31.8,49.0,2.0
0 days 01:00:22.579000,VER,0 days 00:01:54.938000,2.0,1.0,MEDIUM,2.0,126,True,114.938,114.938,89.412,25.525999999999996,,26.9,31.8,49.0,2.0
0 days 01:00:24.746000,HAM,0 days 00:01:56.731000,2.0,1.0,HARD,2.0,126,True,116.731,116.731,90.693,26.037999999999997,,26.9,31.8,49.0,2.0
0 days 01:00:25.858000,BOT,0 days 00:01:57.544000,2.0,1.0,MEDIUM,2.0,26,True,117.544,117.544,93.388,24.15599999999999,,26.9,31.8,49.0,2.0
0 days 01:00:28.676000,ZHO,0 days 00:01:59.827000,2.0,1.0,MEDIUM,2.0,26,True,119.827,119.827,89.914,29.912999999999997,,27.0,31.8,49.0,1.4
0 days 01:01:50.935000,NOR,0 days 00:01:43.313000,3.0,1.0,MEDIUM,3.0,671,True,103.313,105.83099999999999,89.361,13.951999999999998,-5.035999999999987,26.9,31.8,49.0,2.6
0 days 01:01:53.695000,SAI,0 days 00:01:42.795000,3.0,1.0,MEDIUM,3.0,671,True,102.795,106.2825,89.253,13.542000000000002,-6.9750000000000085,26.9,31.8,49.0,2.6
0 days 01:01:54.712000,GAS,0 days 00:01:42.837000,3.0,1.0,MEDIUM,3.0,671,True,102.837,106.29849999999999,90.014,12.823000000000008,-6.922999999999988,26.9,31.8,49.0,2.6
0 days 01:01:55.459000,RUS,0 days 00:01:42.811000,3.0,1.0,MEDIUM,4.0,671,True,102.811,106.3245,89.791,13.02000000000001,-7.026999999999987,26.9,31.8,49.0,2.6
