Driver,Stint,Compound,TotalLaps,CleanLaps,FirstCleanLapTime,LastCleanLapTime,TotalDegradation_Seconds,DegradationPerLap_Seconds,LinearDegradationRate,AvgTrackTemp,AvgAirTemp,StartLap,EndLap
VER,2,MEDIUM,13,11,96.85499999999999,100.27199999999999,3.4170000000000016,0.31063636363636377,0.21477272727272628,37.63846153846154,21.984615384615385,4,16
VER,3,MEDIUM,18,16,96.25200000000001,99.226,2.9739999999999895,0.18587499999999935,0.11257500000000126,35.616666666666674,21.227777777777778,17,34
VER,4,HARD,19,17,94.97,95.263,0.29300000000000637,0.01723529411764743,0.017816176470589692,32.926315789473676,20.173684210526318,35,53
PER,2,MEDIUM,12,10,97.693,100.906,3.213000000000008,0.3213000000000008,0.26100000000000234,37.858333333333334,22.041666666666668,4,15
PER,3,MEDIUM,18,16,97.844,99.40899999999999,1.5649999999999977,0.09781249999999986,0.06629852941176477,35.544444444444444,21.227777777777774,16,33
PER,4,HARD,20,18,94.479,94.72800000000001,0.24900000000000944,0.013833333333333857,0.006949432404541728,33.03,20.21,34,53
NOR,2,MEDIUM,8,6,97.9,100.75999999999999,2.859999999999985,0.4766666666666642,0.44820000000000476,38.6,22.2625,4,11
NOR,3,HARD,15,13,96.777,100.917,4.140000000000001,0.3184615384615385,0.1804780219780212,35.373333333333335,21.26666666666667,12,26
NOR,4,HARD,27,25,96.25800000000001,95.721,-0.5370000000000061,-0.021480000000000245,-0.03794153846153949,33.87037037037037,20.5,27,53
SAI,2,MEDIUM,12,10,97.721,100.439,2.7179999999999893,0.27179999999999893,0.1954727272727318,37.85,22.041666666666668,4,15
SAI,3,MEDIUM,21,19,96.69800000000001,99.31,2.6119999999999948,0.13747368421052605,0.023278947368422627,35.51428571428572,21.199999999999996,16,36
SAI,4,HARD,17,15,94.419,95.22399999999999,0.8049999999999926,0.053666666666666175,0.032978571428569935,32.629411764705885,20.064705882352943,37,53
ALO,2,SOFT,10,8,97.86099999999999,100.816,2.9550000000000125,0.36937500000000156,0.29444047619047675,38.2,22.13,4,13
ALO,3,MEDIUM,20,18,97.021,99.794,2.772999999999996,0.15405555555555533,0.07042621259030087,35.57000000000001,21.259999999999998,14,33
ALO,4,HARD,20,18,95.35300000000001,94.726,-0.6270000000000095,-0.03483333333333386,-0.004750257997933312,33.019999999999996,20.190000000000005,34,53
