Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest
0 days 01:36:02.379000,LEC,,1.0,1.0,MEDIUM,1.0,1254,False
0 days 01:39:00.200000,LEC,,2.0,2.0,HARD,1.0,14,False
0 days 01:40:24.824000,LEC,0 days 00:01:24.624000,3.0,2.0,HARD,2.0,1,True
0 days 01:41:47.449000,LEC,0 days 00:01:22.625000,4.0,2.0,HARD,3.0,1,True
0 days 01:43:09.244000,LEC,0 days 00:01:21.795000,5.0,2.0,HARD,4.0,1,True
0 days 01:44:30.389000,LEC,0 days 00:01:21.145000,6.0,2.0,HARD,5.0,1,True
0 days 01:45:51.369000,LEC,0 days 00:01:20.980000,7.0,2.0,HARD,6.0,1,True
0 days 01:47:12.399000,LEC,0 days 00:01:21.030000,8.0,2.0,HARD,7.0,1,False
0 days 01:48:32.513000,LEC,0 days 00:01:20.114000,9.0,2.0,HARD,8.0,1,True
0 days 01:49:53.288000,LEC,0 days 00:01:20.775000,10.0,2.0,HARD,9.0,1,False
0 days 01:51:14.334000,LEC,0 days 00:01:21.046000,11.0,2.0,HARD,10.0,1,False
0 days 01:52:34.586000,LEC,0 days 00:01:20.252000,12.0,2.0,HARD,11.0,1,False
0 days 01:53:53.603000,LEC,0 days 00:01:19.017000,13.0,2.0,HARD,12.0,1,True
0 days 01:55:13.516000,LEC,0 days 00:01:19.913000,14.0,2.0,HARD,13.0,1,False
0 days 01:56:33.354000,LEC,0 days 00:01:19.838000,15.0,2.0,HARD,14.0,1,False
0 days 01:57:53.510000,LEC,0 days 00:01:20.156000,16.0,2.0,HARD,15.0,1,False
0 days 01:59:13.789000,LEC,0 days 00:01:20.279000,17.0,2.0,HARD,16.0,1,False
0 days 02:00:33.369000,LEC,0 days 00:01:19.580000,18.0,2.0,HARD,17.0,1,False
0 days 02:01:52.211000,LEC,0 days 00:01:18.842000,19.0,2.0,HARD,18.0,1,True
0 days 02:03:10.935000,LEC,0 days 00:01:18.724000,20.0,2.0,HARD,19.0,1,True
0 days 02:04:29.407000,LEC,0 days 00:01:18.472000,21.0,2.0,HARD,20.0,1,True
0 days 02:05:48.027000,LEC,0 days 00:01:18.620000,22.0,2.0,HARD,21.0,1,False
0 days 02:07:06.485000,LEC,0 days 00:01:18.458000,23.0,2.0,HARD,22.0,1,True
0 days 02:08:25.210000,LEC,0 days 00:01:18.725000,24.0,2.0,HARD,23.0,1,False
0 days 02:09:44.183000,LEC,0 days 00:01:18.973000,25.0,2.0,HARD,24.0,1,False
0 days 02:11:02.628000,LEC,0 days 00:01:18.445000,26.0,2.0,HARD,25.0,1,True
0 days 02:12:20.979000,LEC,0 days 00:01:18.351000,27.0,2.0,HARD,26.0,1,True
0 days 02:13:39.689000,LEC,0 days 00:01:18.710000,28.0,2.0,HARD,27.0,1,False
0 days 02:14:58.742000,LEC,0 days 00:01:19.053000,29.0,2.0,HARD,28.0,1,False
0 days 02:16:18.677000,LEC,0 days 00:01:19.935000,30.0,2.0,HARD,29.0,1,False
0 days 02:17:37.070000,LEC,0 days 00:01:18.393000,31.0,2.0,HARD,30.0,1,False
0 days 02:18:56.195000,LEC,0 days 00:01:19.125000,32.0,2.0,HARD,31.0,1,False
0 days 02:20:14.689000,LEC,0 days 00:01:18.494000,33.0,2.0,HARD,32.0,1,False
0 days 02:21:34.008000,LEC,0 days 00:01:19.319000,34.0,2.0,HARD,33.0,1,False
0 days 02:22:52.538000,LEC,0 days 00:01:18.530000,35.0,2.0,HARD,34.0,1,False
0 days 02:24:11.227000,LEC,0 days 00:01:18.689000,36.0,2.0,HARD,35.0,1,False
0 days 02:25:30.152000,LEC,0 days 00:01:18.925000,37.0,2.0,HARD,36.0,1,False
0 days 02:26:48.680000,LEC,0 days 00:01:18.528000,38.0,2.0,HARD,37.0,1,False
0 days 02:28:06.861000,LEC,0 days 00:01:18.181000,39.0,2.0,HARD,38.0,1,True
0 days 02:29:25.594000,LEC,0 days 00:01:18.733000,40.0,2.0,HARD,39.0,1,False
0 days 02:30:44.288000,LEC,0 days 00:01:18.694000,41.0,2.0,HARD,40.0,1,False
0 days 02:32:03.565000,LEC,0 days 00:01:19.277000,42.0,2.0,HARD,41.0,1,False
0 days 02:33:21.430000,LEC,0 days 00:01:17.865000,43.0,2.0,HARD,42.0,1,True
0 days 02:34:39.706000,LEC,0 days 00:01:18.276000,44.0,2.0,HARD,43.0,1,False
0 days 02:35:58.247000,LEC,0 days 00:01:18.541000,45.0,2.0,HARD,44.0,1,False
0 days 02:37:16.814000,LEC,0 days 00:01:18.567000,46.0,2.0,HARD,45.0,1,False
0 days 02:38:35.999000,LEC,0 days 00:01:19.185000,47.0,2.0,HARD,46.0,1,False
0 days 02:39:53.940000,LEC,0 days 00:01:17.941000,48.0,2.0,HARD,47.0,1,False
0 days 02:41:12.446000,LEC,0 days 00:01:18.506000,49.0,2.0,HARD,48.0,1,False
0 days 02:42:30.631000,LEC,0 days 00:01:18.185000,50.0,2.0,HARD,49.0,1,False
0 days 02:43:48.421000,LEC,0 days 00:01:17.790000,51.0,2.0,HARD,50.0,1,True
0 days 02:45:06.732000,LEC,0 days 00:01:18.311000,52.0,2.0,HARD,51.0,1,False
0 days 02:46:24.480000,LEC,0 days 00:01:17.748000,53.0,2.0,HARD,52.0,12,True
0 days 02:47:41.837000,LEC,0 days 00:01:17.357000,54.0,2.0,HARD,53.0,1,True
0 days 02:48:59.281000,LEC,0 days 00:01:17.444000,55.0,2.0,HARD,54.0,1,False
0 days 02:50:16.547000,LEC,0 days 00:01:17.266000,56.0,2.0,HARD,55.0,1,True
0 days 02:51:34.187000,LEC,0 days 00:01:17.640000,57.0,2.0,HARD,56.0,1,False
0 days 02:52:51.215000,LEC,0 days 00:01:17.028000,58.0,2.0,HARD,57.0,1,True
0 days 02:54:08.249000,LEC,0 days 00:01:17.034000,59.0,2.0,HARD,58.0,1,False
0 days 02:55:24.663000,LEC,0 days 00:01:16.414000,60.0,2.0,HARD,59.0,1,True
0 days 02:56:41.526000,LEC,0 days 00:01:16.863000,61.0,2.0,HARD,60.0,1,False
0 days 02:57:58.980000,LEC,0 days 00:01:17.454000,62.0,2.0,HARD,61.0,1,False
0 days 02:59:15.951000,LEC,0 days 00:01:16.971000,63.0,2.0,HARD,62.0,1,False
0 days 03:00:32.511000,LEC,0 days 00:01:16.560000,64.0,2.0,HARD,63.0,1,False
0 days 03:01:49.118000,LEC,0 days 00:01:16.607000,65.0,2.0,HARD,64.0,1,False
0 days 03:03:05.607000,LEC,0 days 00:01:16.489000,66.0,2.0,HARD,65.0,1,False
0 days 03:04:21.548000,LEC,0 days 00:01:15.941000,67.0,2.0,HARD,66.0,1,True
0 days 03:05:37.630000,LEC,0 days 00:01:16.082000,68.0,2.0,HARD,67.0,1,False
0 days 03:06:54.003000,LEC,0 days 00:01:16.373000,69.0,2.0,HARD,68.0,1,False
0 days 03:08:09.770000,LEC,0 days 00:01:15.767000,70.0,2.0,HARD,69.0,1,True
0 days 03:09:24.932000,LEC,0 days 00:01:15.162000,71.0,2.0,HARD,70.0,1,True
0 days 03:10:40.479000,LEC,0 days 00:01:15.547000,72.0,2.0,HARD,71.0,1,False
0 days 03:11:56.698000,LEC,0 days 00:01:16.219000,73.0,2.0,HARD,72.0,1,False
0 days 03:13:12.803000,LEC,0 days 00:01:16.105000,74.0,2.0,HARD,73.0,1,False
0 days 03:14:29.190000,LEC,0 days 00:01:16.387000,75.0,2.0,HARD,74.0,1,False
0 days 03:15:45.998000,LEC,0 days 00:01:16.808000,76.0,2.0,HARD,75.0,1,False
0 days 03:17:02.931000,LEC,0 days 00:01:16.933000,77.0,2.0,HARD,76.0,1,False
0 days 03:18:21.567000,LEC,0 days 00:01:18.636000,78.0,2.0,HARD,77.0,1,False
0 days 01:36:04.880000,PIA,,1.0,1.0,MEDIUM,2.0,1254,False
0 days 01:39:00.884000,PIA,,2.0,2.0,HARD,2.0,14,False
0 days 01:40:25.837000,PIA,0 days 00:01:24.953000,3.0,2.0,HARD,3.0,1,True
0 days 01:41:48.151000,PIA,0 days 00:01:22.314000,4.0,2.0,HARD,4.0,1,True
0 days 01:43:10.170000,PIA,0 days 00:01:22.019000,5.0,2.0,HARD,5.0,1,True
0 days 01:44:31.524000,PIA,0 days 00:01:21.354000,6.0,2.0,HARD,6.0,1,True
0 days 01:45:52.332000,PIA,0 days 00:01:20.808000,7.0,2.0,HARD,7.0,1,True
0 days 01:47:13.390000,PIA,0 days 00:01:21.058000,8.0,2.0,HARD,8.0,1,False
0 days 01:48:33.296000,PIA,0 days 00:01:19.906000,9.0,2.0,HARD,9.0,1,True
0 days 01:49:54.186000,PIA,0 days 00:01:20.890000,10.0,2.0,HARD,10.0,1,False
0 days 01:51:15.084000,PIA,0 days 00:01:20.898000,11.0,2.0,HARD,11.0,1,False
0 days 01:52:35.219000,PIA,0 days 00:01:20.135000,12.0,2.0,HARD,12.0,1,False
0 days 01:53:53.964000,PIA,0 days 00:01:18.745000,13.0,2.0,HARD,13.0,1,True
0 days 01:55:13.978000,PIA,0 days 00:01:20.014000,14.0,2.0,HARD,14.0,1,False
