Time,Driver,LapTime,LapNumber,Stint,Compound,TyreLife,TrackStatus,IsPersonalBest,LapTime_Seconds,RollingAvgLapTime,BaselineLapTime,LapTimeDelta,DegradationRate,AirTemp,TrackTemp,Humidity,WindSpeed
0 days 00:59:15.596000,VER,0 days 00:01:33.943000,2.0,1.0,MEDIUM,2.0,1,True,93.943,93.943,93.646,0.29699999999999704,,14.3,20.8,77.0,1.5
0 days 00:59:16.636000,NOR,0 days 00:01:33.947000,2.0,1.0,MEDIUM,2.0,1,True,93.947,93.947,93.936,0.01099999999999568,,14.3,20.8,77.0,1.5
0 days 00:59:17.494000,PIA,0 days 00:01:34.084000,2.0,1.0,MEDIUM,2.0,1,True,94.084,94.084,93.831,0.2530000000000001,,14.3,20.8,77.0,1.5
0 days 00:59:18.420000,LEC,0 days 00:01:34.121000,2.0,1.0,MEDIUM,2.0,1,True,94.12100000000001,94.12100000000001,93.87899999999999,0.24200000000001864,,14.3,20.8,77.0,1.5
0 days 00:59:19.104000,RUS,0 days 00:01:34.191000,2.0,1.0,MEDIUM,2.0,1,True,94.191,94.191,93.922,0.26900000000000546,,14.3,20.8,77.0,1.5
0 days 00:59:20.424000,ANT,0 days 00:01:34.531000,2.0,1.0,MEDIUM,2.0,1,False,94.531,94.531,94.057,0.47400000000000375,,14.3,20.8,77.0,1.5
0 days 00:59:21.602000,HAD,0 days 00:01:34.750000,2.0,1.0,MEDIUM,2.0,1,True,94.75,94.75,95.455,-0.7049999999999983,,14.3,20.8,77.0,1.5
0 days 00:59:22.482000,HAM,0 days 00:01:35.275000,2.0,1.0,HARD,2.0,1,True,95.275,95.275,93.941,1.3340000000000032,,14.3,20.8,77.0,1.5
0 days 00:59:23.159000,ALB,0 days 00:01:35.445000,2.0,1.0,MEDIUM,2.0,1,True,95.445,95.445,94.44800000000001,0.9969999999999857,,14.3,20.8,77.0,1.5
0 days 00:59:23.756000,BEA,0 days 00:01:35.553000,2.0,1.0,MEDIUM,2.0,1,True,95.553,95.553,94.535,1.0180000000000007,,14.3,20.8,77.0,1.5
0 days 00:59:24.662000,ALO,0 days 00:01:35.686000,2.0,1.0,MEDIUM,3.0,1,True,95.686,95.686,94.719,0.967000000000013,,14.3,20.8,77.0,1.5
0 days 00:59:25.213000,GAS,0 days 00:01:35.858000,2.0,1.0,MEDIUM,2.0,1,True,95.858,95.858,94.85,1.0080000000000098,,14.3,20.8,77.0,1.5
0 days 00:59:25.866000,TSU,0 days 00:01:36.076000,2.0,1.0,MEDIUM,2.0,1,True,96.076,96.076,94.75999999999999,1.3160000000000025,,14.3,20.8,77.0,1.5
