Driver,Stint,Compound,TotalLaps,CleanLaps,FirstCleanLapTime,LastCleanLapTime,TotalDegradation_Seconds,DegradationPerLap_Seconds,LinearDegradationRate,AvgTrackTemp,AvgAirTemp,StartLap,EndLap
VER,1,MEDIUM,20,18,93.744,95.22,1.475999999999999,0.08199999999999995,0.007059855521158339,20.400000000000002,14.34,2,21
VER,2,HARD,32,30,92.291,91.548,-0.742999999999995,-0.0247666666666665,-0.04386184649610671,19.421875,14.515625,22,53
NOR,1,MEDIUM,20,18,93.838,95.03399999999999,1.195999999999998,0.06644444444444433,-0.015015479876160961,20.400000000000002,14.34,2,21
NOR,2,HARD,32,30,92.717,91.423,-1.293999999999997,-0.04313333333333323,-0.04126117908787379,19.421875,14.515625,22,53
PIA,1,MEDIUM,19,17,93.699,95.35900000000001,1.6600000000000108,0.09764705882353004,0.011463235294115253,20.42105263157895,14.336842105263159,2,20
PIA,2,HARD,33,31,93.017,91.039,-1.9779999999999944,-0.06380645161290305,-0.044538306451613496,19.43939393939394,14.506060606060608,21,53
LEC,1,MEDIUM,20,18,93.95400000000001,95.423,1.468999999999994,0.08161111111111079,0.009897832817337802,20.400000000000002,14.34,2,21
LEC,2,HARD,32,30,93.124,91.745,-1.3789999999999907,-0.04596666666666636,-0.03008431590656203,19.4125,14.509375,22,53
RUS,1,MEDIUM,18,16,94.057,95.756,1.698999999999998,0.10618749999999988,0.03388382352941493,20.444444444444446,14.32777777777778,2,19
RUS,2,HARD,34,32,94.12299999999999,91.431,-2.691999999999993,-0.08412499999999978,-0.06247525659824086,19.447058823529417,14.508823529411767,20,53
ANT,1,MEDIUM,30,28,94.25999999999999,95.456,1.1960000000000122,0.04271428571428615,-0.02700136836343677,20.150000000000002,14.383333333333333,2,31
ANT,2,HARD,22,20,91.486,91.696,0.20999999999999375,0.010499999999999687,-0.029642857142858588,19.30909090909091,14.522727272727279,32,53
HAD,1,MEDIUM,24,22,94.277,96.218,1.9410000000000025,0.08822727272727283,-0.012630717108976576,20.3,14.358333333333334,2,25
HAD,2,HARD,28,26,93.202,91.5,-1.7019999999999982,-0.06546153846153839,-0.07422700854701067,19.37142857142857,14.525000000000004,26,53
HAM,1,HARD,29,27,94.14699999999999,96.186,2.0390000000000157,0.0755185185185191,-0.010763736263735932,20.172413793103452,14.382758620689655,2,30
HAM,2,MEDIUM,23,21,91.589,91.423,-0.16599999999999682,-0.007904761904761753,-0.013250649350649218,19.317391304347826,14.5304347826087,31,53
ALB,1,MEDIUM,23,21,94.31700000000001,96.92699999999999,2.609999999999985,0.12428571428571358,0.01745974025974002,20.326086956521742,14.356521739130432,2,24
ALB,2,HARD,29,27,93.821,91.154,-2.6670000000000016,-0.09877777777777784,-0.08722344322344151,19.382758620689657,14.524137931034488,25,53
BEA,1,MEDIUM,22,20,94.46600000000001,96.245,1.7789999999999964,0.08894999999999982,0.041042105263156464,20.35909090909091,14.354545454545452,2,23
