race,driver,tire_age,tire_compound,lap_number,race_progress,position,track_temp,air_temp,degradation_rate,lap_time,should_pit
2024_Austria,SAI,7,MEDIUM,7,0.09859154929577464,6,46.5,29.5,-0.007799999999997453,71.222,0
2024_Austria,SAI,8,MEDIUM,8,0.11267605633802817,3,46.5,29.5,0.07879999999999825,71.137,0
2024_Austria,SAI,9,MEDIUM,9,0.1267605633802817,3,46.5,29.5,0.1186000000000007,70.723,0
2024_Austria,SAI,10,MEDIUM,10,0.14084507042253522,3,46.5,29.5,0.06440000000000054,70.944,0
2024_Austria,SAI,11,MEDIUM,11,0.15492957746478872,2,46.5,29.5,0.05279999999999916,70.839,0
2024_Austria,SAI,12,MEDIUM,12,0.16901408450704225,2,46.5,29.5,-0.07659999999999911,71.015,0
2024_Austria,SAI,13,MEDIUM,13,0.18309859154929578,6,46.5,29.5,-0.024399999999999977,71.309,0
2024_Austria,SAI,16,MEDIUM,16,0.22535211267605634,6,46.5,29.5,0.11719999999999971,71.462,0
2024_Austria,SAI,17,MEDIUM,17,0.23943661971830985,9,46.5,29.5,0.10360000000000014,71.706,1
2024_Austria,SAI,18,MEDIUM,18,0.2535211267605634,5,46.5,29.5,0.1734000000000009,71.491,1
2024_Austria,SAI,19,MEDIUM,19,0.2676056338028169,8,46.5,29.5,0.09519999999999981,71.839,1
2024_Austria,SAI,20,MEDIUM,20,0.28169014084507044,8,46.5,29.5,0.10600000000000023,71.712,1
2024_Austria,SAI,21,MEDIUM,21,0.29577464788732394,9,46.5,29.5,0.05,71.807,1
2024_Austria,SAI,1,HARD,23,0.323943661971831,12,46.5,29.5,0.02019999999999982,86.784,0
2024_Austria,SAI,2,HARD,24,0.3380281690140845,2,46.5,29.5,3.058600000000001,70.011,0
2024_Austria,SAI,3,HARD,25,0.352112676056338,3,46.5,29.5,-0.3656000000000006,69.889,0
2024_Austria,SAI,4,HARD,26,0.36619718309859156,2,46.5,29.5,-0.3646000000000015,70.134,0
2024_Austria,SAI,5,HARD,27,0.38028169014084506,4,46.5,29.5,-0.33460000000000034,70.239,0
2024_Austria,SAI,6,HARD,28,0.39436619718309857,1,46.5,29.5,-3.309,70.059,0
2024_Austria,SAI,9,HARD,31,0.43661971830985913,5,46.5,29.5,0.009600000000000363,70.108,0
2024_Austria,SAI,10,HARD,32,0.4507042253521127,5,46.5,29.5,0.04380000000000166,70.244,0
2024_Austria,SAI,11,HARD,33,0.4647887323943662,5,46.5,29.5,0.021999999999999888,70.141,0
2024_Austria,SAI,13,HARD,35,0.49295774647887325,4,46.5,29.5,-0.019599999999999795,70.509,0
2024_Austria,SAI,14,HARD,36,0.5070422535211268,4,46.5,29.5,0.09000000000000057,70.473,0
2024_Austria,SAI,17,HARD,39,0.5492957746478874,9,46.5,29.5,0.07299999999999898,70.842,0
2024_Austria,SAI,18,HARD,40,0.5633802816901409,6,46.5,29.5,0.11959999999999979,70.748,0
2024_Austria,SAI,19,HARD,41,0.5774647887323944,5,46.5,29.5,0.12139999999999987,70.729,0
2024_Austria,SAI,20,HARD,42,0.5915492957746479,8,46.5,29.5,0.043999999999999775,70.906,1
2024_Austria,SAI,22,HARD,44,0.6197183098591549,8,46.5,29.5,0.08660000000000138,71.214,1
2024_Austria,SAI,23,HARD,45,0.6338028169014085,12,46.5,29.5,0.07439999999999998,71.081,1
2024_Austria,SAI,24,HARD,46,0.647887323943662,11,46.5,29.5,0.06659999999999969,71.088,1
2024_Austria,SAI,25,HARD,47,0.6619718309859155,13,46.5,29.5,0.07179999999999893,74.811,1
2024_Austria,SAI,2,MEDIUM,49,0.6901408450704225,2,46.5,29.5,0.7810000000000002,69.555,0
2024_Austria,SAI,4,MEDIUM,51,0.7183098591549296,1,46.5,29.5,-0.3317999999999984,69.412,0
2024_Austria,SAI,6,MEDIUM,53,0.7464788732394366,5,46.5,29.5,-0.3337999999999994,69.981,0
2024_Austria,SAI,7,MEDIUM,54,0.7605633802816901,4,46.5,29.5,-0.22139999999999987,69.546,0
2024_Austria,SAI,8,MEDIUM,55,0.7746478873239436,4,46.5,29.5,-1.0530000000000002,69.464,0
2024_Austria,SAI,9,MEDIUM,56,0.7887323943661971,3,46.5,29.5,-0.01820000000000164,69.282,0
2024_Austria,SAI,10,MEDIUM,57,0.8028169014084507,5,46.5,29.5,-0.02600000000000193,69.713,0
2024_Austria,SAI,11,MEDIUM,58,0.8169014084507042,5,46.5,29.5,-0.053600000000000134,69.921,0
2024_Austria,SAI,13,MEDIUM,60,0.8450704225352113,4,46.5,29.5,0.075,69.734,0
2024_Austria,SAI,14,MEDIUM,61,0.8591549295774648,4,46.5,29.5,0.0539999999999992,69.92,0
2024_Austria,SAI,15,MEDIUM,62,0.8732394366197183,4,46.5,29.5,0.12760000000000105,69.957,0
2024_Austria,SAI,16,MEDIUM,63,0.8873239436619719,4,46.5,29.5,0.048799999999999955,70.047,0
2024_Austria,SAI,17,MEDIUM,64,0.9014084507042254,3,46.5,29.5,0.025199999999998113,70.02,0
2024_Austria,SAI,18,MEDIUM,65,0.9154929577464789,3,46.5,29.5,0.05720000000000027,71.631,0
2024_Austria,SAI,19,MEDIUM,66,0.9295774647887324,14,46.5,29.5,0.3421999999999997,87.378,0
2024_Austria,LEC,6,HARD,7,0.09859154929577464,4,46.5,29.5,-5.647400000000002,70.88,0
2024_Austria,LEC,7,HARD,8,0.11267605633802817,2,46.5,29.5,0.028399999999999183,70.735,0
2024_Austria,LEC,9,HARD,10,0.14084507042253522,2,46.5,29.5,0.0818000000000012,70.879,0
2024_Austria,LEC,10,HARD,11,0.15492957746478872,4,46.5,29.5,0.03880000000000052,71.141,0
2024_Austria,LEC,11,HARD,12,0.16901408450704225,8,46.5,29.5,0.11420000000000244,71.389,1
2024_Austria,LEC,12,HARD,13,0.18309859154929578,10,46.5,29.5,0.10180000000000007,71.459,1
2024_Austria,LEC,13,HARD,14,0.19718309859154928,13,46.5,29.5,0.14480000000000076,72.652,1
2024_Austria,LEC,14,HARD,15,0.2112676056338028,9,46.5,29.5,0.35459999999999925,71.728,1
2024_Austria,LEC,15,HARD,16,0.22535211267605634,16,46.5,29.5,0.11739999999999781,75.204,1
2024_Austria,LEC,1,MEDIUM,17,0.23943661971830985,18,46.5,29.5,0.7629999999999996,88.526,0
2024_Austria,LEC,2,MEDIUM,18,0.2535211267605634,1,46.5,29.5,3.4133999999999984,71.199,0
2024_Austria,LEC,3,MEDIUM,19,0.2676056338028169,1,46.5,29.5,-0.2906000000000006,71.157,0
2024_Austria,LEC,5,MEDIUM,21,0.29577464788732394,1,46.5,29.5,-0.1141999999999996,70.952,0
2024_Austria,LEC,6,MEDIUM,22,0.30985915492957744,1,46.5,29.5,-0.850399999999999,70.639,0
2024_Austria,LEC,8,MEDIUM,24,0.3380281690140845,4,46.5,29.5,-3.5774,70.622,0
2024_Austria,LEC,9,MEDIUM,25,0.352112676056338,5,46.5,29.5,-0.11539999999999964,70.459,1
2024_Austria,LEC,10,MEDIUM,26,0.36619718309859156,3,46.5,29.5,-0.13959999999999867,70.309,1
2024_Austria,LEC,12,MEDIUM,28,0.39436619718309857,8,46.5,29.5,-0.12860000000000013,71.475,1
2024_Austria,LEC,14,MEDIUM,30,0.4225352112676056,5,46.5,29.5,0.1671999999999997,70.401,1
2024_Austria,LEC,17,MEDIUM,33,0.4647887323943662,17,46.5,29.5,-0.044200000000000725,74.757,1
2024_Austria,LEC,3,MEDIUM,35,0.49295774647887325,2,46.5,29.5,0.8596000000000004,70.055,0
2024_Austria,LEC,4,MEDIUM,36,0.5070422535211268,1,46.5,29.5,-0.05079999999999814,69.894,0
2024_Austria,LEC,5,MEDIUM,37,0.5211267605633803,2,46.5,29.5,-0.31619999999999776,70.008,0
2024_Austria,LEC,6,MEDIUM,38,0.5352112676056338,4,46.5,29.5,-0.07860000000000014,70.477,0
2024_Austria,LEC,7,MEDIUM,39,0.5492957746478874,1,46.5,29.5,-0.8560000000000002,70.143,0
2024_Austria,LEC,8,MEDIUM,40,0.5633802816901409,3,46.5,29.5,0.017599999999998773,70.308,0
2024_Austria,LEC,9,MEDIUM,41,0.5774647887323944,2,46.5,29.5,0.08280000000000029,70.368,0
2024_Austria,LEC,10,MEDIUM,42,0.5915492957746479,1,46.5,29.5,0.07199999999999988,70.118,0
2024_Austria,LEC,11,MEDIUM,43,0.6056338028169014,9,46.5,29.5,-0.07180000000000178,70.946,0
2024_Austria,LEC,12,MEDIUM,44,0.6197183098591549,4,46.5,29.5,0.16059999999999947,70.543,0
2024_Austria,LEC,13,MEDIUM,45,0.6338028169014085,5,46.5,29.5,0.04699999999999989,70.193,0
2024_Austria,LEC,14,MEDIUM,46,0.647887323943662,5,46.5,29.5,-0.034999999999999434,70.522,1
2024_Austria,LEC,15,MEDIUM,47,0.6619718309859155,5,46.5,29.5,0.08080000000000212,70.789,1
2024_Austria,LEC,17,MEDIUM,49,0.6901408450704225,8,46.5,29.5,-0.031399999999999297,70.568,1
2024_Austria,LEC,18,MEDIUM,50,0.704225352112676,15,46.5,29.5,0.004999999999998295,71.739,1
2024_Austria,LEC,19,MEDIUM,51,0.7183098591549296,14,46.5,29.5,0.3092000000000013,73.925,1
2024_Austria,LEC,7,MEDIUM,52,0.7323943661971831,13,46.5,29.5,0.6805999999999983,86.074,0
2024_Austria,LEC,8,MEDIUM,53,0.7464788732394366,10,46.5,29.5,3.0569999999999995,70.734,0
2024_Austria,LEC,9,MEDIUM,54,0.7605633802816901,5,46.5,29.5,0.03319999999999936,69.683,0
2024_Austria,LEC,11,MEDIUM,56,0.7887323943661971,5,46.5,29.5,-0.41119999999999945,69.801,0
2024_Austria,LEC,12,MEDIUM,57,0.8028169014084507,4,46.5,29.5,-0.8247999999999991,69.687,0
2024_Austria,LEC,13,MEDIUM,58,0.8169014084507042,4,46.5,29.5,-3.2774,69.649,0
2024_Austria,LEC,14,MEDIUM,59,0.8309859154929577,4,46.5,29.5,-0.21699999999999875,70.285,0
2024_Austria,LEC,15,MEDIUM,60,0.8450704225352113,6,46.5,29.5,0.12039999999999793,70.36,0
2024_Austria,LEC,16,MEDIUM,61,0.8591549295774648,5,46.5,29.5,0.1117999999999995,69.931,0
2024_Austria,LEC,17,MEDIUM,62,0.8732394366197183,3,46.5,29.5,0.048799999999999955,69.857,0
2024_Austria,LEC,18,MEDIUM,63,0.8873239436619719,7,46.5,29.5,0.04159999999999968,70.518,0
2024_Austria,LEC,19,MEDIUM,64,0.9014084507042254,4,46.5,29.5,0.04660000000000082,70.092,0
2024_Austria,LEC,20,MEDIUM,65,0.9154929577464789,11,46.5,29.5,-0.053600000000000134,86.845,0
2024_Austria,LEC,21,MEDIUM,66,0.9295774647887324,1,46.5,29.5,3.3828000000000005,69.776,0
2024_Austria,LEC,22,MEDIUM,67,0.9436619718309859,4,46.5,29.5,-0.016200000000000613,70.353,0
2024_Austria,LEC,23,MEDIUM,68,0.9577464788732394,4,46.5,29.5,-0.03300000000000125,70.413,0
2024_Austria,ZHO,8,HARD,8,0.11267605633802817,15,46.5,29.5,0.05039999999999907,72.089,0
2024_Austria,ZHO,9,HARD,9,0.1267605633802817,16,46.5,29.5,-0.036000000000001364,72.16,0
2024_Austria,ZHO,10,HARD,10,0.14084507042253522,12,46.5,29.5,0.07620000000000005,72.335,0
2024_Austria,ZHO,11,HARD,11,0.15492957746478872,13,46.5,29.5,0.07239999999999895,72.068,0
2024_Austria,ZHO,12,HARD,12,0.16901408450704225,13,46.5,29.5,0.004599999999999227,72.397,0
2024_Austria,ZHO,13,HARD,13,0.18309859154929578,18,46.5,29.5,0.06160000000000139,72.211,0
2024_Austria,ZHO,14,HARD,14,0.19718309859154928,11,46.5,29.5,0.010200000000000386,72.337,0
2024_Austria,ZHO,15,HARD,15,0.2112676056338028,12,46.5,29.5,0.00040000000000190995,72.239,0
2024_Austria,ZHO,16,HARD,16,0.22535211267605634,12,46.5,29.5,0.0342000000000013,72.441,0
2024_Austria,ZHO,17,HARD,17,0.23943661971830985,16,46.5,29.5,0.008799999999999386,72.852,0
2024_Austria,ZHO,18,HARD,18,0.2535211267605634,13,46.5,29.5,0.12820000000000106,73.866,0
2024_Austria,ZHO,19,HARD,19,0.2676056338028169,14,46.5,29.5,0.3057999999999993,72.597,0
2024_Austria,ZHO,20,HARD,20,0.28169014084507044,12,46.5,29.5,0.07159999999999797,75.649,0
2024_Austria,ZHO,21,HARD,21,0.29577464788732394,11,46.5,29.5,0.6415999999999997,73.624,0
2024_Austria,ZHO,22,HARD,22,0.30985915492957744,12,46.5,29.5,0.15439999999999826,73.307,1
2024_Austria,ZHO,23,HARD,23,0.323943661971831,7,46.5,29.5,-0.1117999999999995,72.674,1
2024_Austria,ZHO,24,HARD,24,0.3380281690140845,15,46.5,29.5,0.015400000000002478,72.726,1
2024_Austria,ZHO,26,HARD,26,0.36619718309859156,15,46.5,29.5,-0.5846000000000003,73.839,1
2024_Austria,ZHO,28,HARD,28,0.39436619718309857,15,46.5,29.5,0.043000000000000684,76.494,1
2024_Austria,ZHO,1,MEDIUM,29,0.4084507042253521,11,46.5,29.5,0.6373999999999995,90.496,0
2024_Austria,ZHO,2,MEDIUM,30,0.4225352112676056,8,46.5,29.5,3.564399999999998,70.915,0
2024_Austria,ZHO,4,MEDIUM,32,0.4507042253521127,15,46.5,29.5,-0.3621999999999986,72.217,0
2024_Austria,ZHO,5,MEDIUM,33,0.4647887323943662,8,46.5,29.5,-0.32439999999999997,70.748,0
2024_Austria,ZHO,6,MEDIUM,34,0.4788732394366197,7,46.5,29.5,-1.1491999999999991,71.224,0
2024_Austria,ZHO,7,MEDIUM,35,0.49295774647887325,9,46.5,29.5,-3.8543999999999983,71.692,0
2024_Austria,ZHO,9,MEDIUM,37,0.5211267605633803,14,46.5,29.5,0.15539999999999737,72.234,0
2024_Austria,ZHO,10,MEDIUM,38,0.5352112676056338,13,46.5,29.5,0.0033999999999991815,72.77,0
2024_Austria,ZHO,11,MEDIUM,39,0.5492957746478874,10,46.5,29.5,0.40439999999999826,70.987,0
2024_Austria,ZHO,12,MEDIUM,40,0.5633802816901409,12,46.5,29.5,-0.047400000000001795,71.298,0
2024_Austria,ZHO,13,MEDIUM,41,0.5774647887323944,18,46.5,29.5,-0.07879999999999825,74.79,0
2024_Austria,ZHO,14,MEDIUM,42,0.5915492957746479,12,46.5,29.5,0.5112000000000023,71.54,0
2024_Austria,ZHO,15,MEDIUM,43,0.6056338028169014,11,46.5,29.5,-0.24599999999999794,71.821,0
2024_Austria,ZHO,16,MEDIUM,44,0.6197183098591549,11,46.5,29.5,0.16680000000000064,71.336,0
2024_Austria,ZHO,17,MEDIUM,45,0.6338028169014085,13,46.5,29.5,0.007599999999999341,71.291,0
2024_Austria,ZHO,18,MEDIUM,46,0.647887323943662,12,46.5,29.5,-0.6998000000000019,71.231,1
2024_Austria,ZHO,20,MEDIUM,48,0.676056338028169,13,46.5,29.5,-0.06180000000000234,71.663,1
2024_Austria,ZHO,21,MEDIUM,49,0.6901408450704225,14,46.5,29.5,-0.03160000000000025,71.385,1
2024_Austria,ZHO,22,MEDIUM,50,0.704225352112676,16,46.5,29.5,0.009800000000001318,73.529,1
2024_Austria,ZHO,23,MEDIUM,51,0.7183098591549296,16,46.5,29.5,0.4475999999999999,75.549,1
2024_Austria,ZHO,1,HARD,52,0.7323943661971831,14,46.5,29.5,0.8636000000000024,88.633,0
2024_Austria,ZHO,2,HARD,53,0.7464788732394366,9,46.5,29.5,3.3939999999999997,70.726,0
2024_Austria,ZHO,3,HARD,54,0.7605633802816901,9,46.5,29.5,-0.1318000000000012,70.47,0
2024_Austria,ZHO,4,HARD,55,0.7746478873239436,14,46.5,29.5,-0.6117999999999995,70.809,0
2024_Austria,ZHO,5,HARD,56,0.7887323943661971,14,46.5,29.5,-0.9480000000000018,71.042,0
2024_Austria,ZHO,6,HARD,57,0.8028169014084507,15,46.5,29.5,-3.518199999999999,71.155,0
2024_Austria,ZHO,7,HARD,58,0.8169014084507042,16,46.5,29.5,0.0858000000000004,71.225,0
2024_Austria,ZHO,8,HARD,59,0.8309859154929577,10,46.5,29.5,0.15099999999999908,70.977,0
2024_Austria,ZHO,9,HARD,60,0.8450704225352113,10,46.5,29.5,0.033600000000001275,70.765,0
2024_Austria,ZHO,10,HARD,61,0.8591549295774648,12,46.5,29.5,-0.055400000000000206,70.976,0
2024_Austria,ZHO,11,HARD,62,0.8732394366197183,9,46.5,29.5,-0.03580000000000041,71.06,0
2024_Austria,ZHO,12,HARD,63,0.8873239436619719,10,46.5,29.5,-0.032999999999998406,71.171,0
2024_Austria,ZHO,13,HARD,64,0.9014084507042254,13,46.5,29.5,0.03880000000000052,81.122,0
2024_Austria,ZHO,14,HARD,65,0.9154929577464789,5,46.5,29.5,2.0713999999999997,78.656,0
2024_Austria,ZHO,15,HARD,66,0.9295774647887324,4,46.5,29.5,1.5360000000000014,71.016,0
2024_Austria,MAG,9,MEDIUM,9,0.1267605633802817,13,46.5,29.5,0.11659999999999968,71.593,1
2024_Austria,MAG,10,MEDIUM,10,0.14084507042253522,15,46.5,29.5,0.13460000000000036,75.218,1
2024_Austria,MAG,1,HARD,11,0.15492957746478872,17,46.5,29.5,0.8010000000000019,87.431,0
2024_Austria,MAG,2,HARD,12,0.16901408450704225,7,46.5,29.5,3.1877999999999984,71.273,0
2024_Austria,MAG,3,HARD,13,0.18309859154929578,13,46.5,29.5,-0.07220000000000085,71.965,0
2024_Austria,MAG,5,HARD,15,0.2112676056338028,3,46.5,29.5,0.07439999999999998,71.215,0
2024_Austria,MAG,6,HARD,16,0.22535211267605634,5,46.5,29.5,-0.8006,71.411,0
2024_Austria,MAG,7,HARD,17,0.23943661971830985,2,46.5,29.5,-3.2039999999999993,71.243,0
2024_Austria,MAG,9,HARD,19,0.2676056338028169,4,46.5,29.5,-0.006000000000000227,71.565,0
2024_Austria,MAG,10,HARD,20,0.28169014084507044,1,46.5,29.5,-0.08000000000000114,71.107,0
2024_Austria,MAG,15,HARD,25,0.352112676056338,15,46.5,29.5,-0.02160000000000082,71.693,0
2024_Austria,MAG,16,HARD,26,0.36619718309859156,13,46.5,29.5,0.0563999999999993,71.766,0
2024_Austria,MAG,17,HARD,27,0.38028169014084506,14,46.5,29.5,0.10460000000000207,71.791,0
2024_Austria,MAG,18,HARD,28,0.39436619718309857,13,46.5,29.5,0.04519999999999982,71.903,0
2024_Austria,MAG,20,HARD,30,0.4225352112676056,15,46.5,29.5,0.15920000000000128,71.757,0
2024_Austria,MAG,21,HARD,31,0.43661971830985913,8,46.5,29.5,0.012800000000001432,71.628,0
2024_Austria,MAG,23,HARD,33,0.4647887323943662,13,46.5,29.5,-0.027600000000001047,71.543,0
2024_Austria,MAG,24,HARD,34,0.4788732394366197,12,46.5,29.5,-0.04959999999999809,71.83,1
2024_Austria,MAG,25,HARD,35,0.49295774647887325,12,46.5,29.5,-0.0146000000000015,71.832,1
2024_Austria,MAG,26,HARD,36,0.5070422535211268,15,46.5,29.5,0.014999999999997727,72.043,1
2024_Austria,MAG,27,HARD,37,0.5211267605633803,12,46.5,29.5,0.08300000000000125,71.815,1
2024_Austria,MAG,28,HARD,38,0.5352112676056338,14,46.5,29.5,0.05439999999999827,75.311,1
2024_Austria,MAG,2,HARD,40,0.5633802816901409,10,46.5,29.5,0.6962000000000017,70.866,0
2024_Austria,MAG,3,HARD,41,0.5774647887323944,8,46.5,29.5,-0.1931999999999988,70.755,0
2024_Austria,MAG,4,HARD,42,0.5915492957746479,4,46.5,29.5,-0.25760000000000216,70.62,0
2024_Austria,MAG,5,HARD,43,0.6056338028169014,2,46.5,29.5,-0.23899999999999863,70.276,0
2024_Austria,MAG,7,HARD,45,0.6338028169014085,3,46.5,29.5,-1.0070000000000021,70.125,0
2024_Austria,MAG,8,HARD,46,0.647887323943662,3,46.5,29.5,-0.14819999999999994,70.365,0
2024_Austria,MAG,9,HARD,47,0.6619718309859155,7,46.5,29.5,-0.07800000000000011,70.879,0
2024_Austria,MAG,10,HARD,48,0.676056338028169,11,46.5,29.5,0.05180000000000007,70.707,0
2024_Austria,MAG,11,HARD,49,0.6901408450704225,12,46.5,29.5,0.08619999999999947,70.698,0
2024_Austria,MAG,12,HARD,50,0.704225352112676,9,46.5,29.5,0.11459999999999866,70.631,0
2024_Austria,MAG,13,HARD,51,0.7183098591549296,7,46.5,29.5,0.053200000000001066,70.848,0
2024_Austria,MAG,14,HARD,52,0.7323943661971831,7,46.5,29.5,-0.006200000000001182,70.786,0
2024_Austria,MAG,16,HARD,54,0.7605633802816901,13,46.5,29.5,0.015800000000001545,70.905,0
2024_Austria,MAG,17,HARD,55,0.7746478873239436,12,46.5,29.5,0.04140000000000157,70.743,0
2024_Austria,MAG,19,HARD,57,0.8028169014084507,12,46.5,29.5,0.022399999999998955,70.778,0
2024_Austria,MAG,20,HARD,58,0.8169014084507042,14,46.5,29.5,-0.013999999999998635,71.01,0
2024_Austria,MAG,21,HARD,59,0.8309859154929577,13,46.5,29.5,0.04480000000000075,71.329,0
2024_Austria,MAG,23,HARD,61,0.8591549295774648,15,46.5,29.5,0.08479999999999847,71.276,0
