Driver,LapNumber,LapTime_Seconds,Compound,TyreLife,Stint,TrackTemp,AirTemp,Race
SAI,62.0,69.957,MEDIUM,15.0,3.0,46.5,29.5,2024_Austria
BOT,41.0,84.249,HARD,13.0,3.0,41.150000000000006,24.1,2024_Spain
PIA,11.0,81.486,SOFT,14.0,1.0,41.150000000000006,24.1,2024_Spain
RUS,25.0,79.772,MEDIUM,10.0,2.0,41.150000000000006,24.1,2024_Spain
MAG,27.0,93.935,MEDIUM,27.0,1.0,29.8,21.5,2023_Britain
SAI,60.0,75.159,HARD,59.0,2.0,47.25,21.6,2024_Monaco
SAI,6.0,91.175,HARD,6.0,1.0,32.8,26.9,2023_Abu_Dhabi
MAG,13.0,96.89,HARD,2.0,2.0,23.5,18.2,2024_Bahrain
MAG,45.0,96.349,HARD,13.0,3.0,23.5,18.2,2024_Bahrain
VER,23.0,92.792,HARD,16.0,2.0,31.5,25.5,2024_Saudi_Arabia
PIA,2.0,95.082,MEDIUM,2.0,1.0,31.5,25.5,2024_Saudi_Arabia
LEC,19.0,71.157,MEDIUM,3.0,3.0,46.5,29.5,2024_Austria
SAI,44.0,94.507,HARD,9.0,3.0,23.5,18.2,2024_Bahrain
OCO,28.0,90.322,HARD,13.0,2.0,32.8,26.9,2023_Abu_Dhabi
SAR,51.0,102.32,HARD,27.0,3.0,29.9,18.7,2024_China
PIA,21.0,79.065,HARD,21.0,1.0,39.5,25.3,2023_Monaco
ZHO,7.0,72.045,HARD,7.0,1.0,46.5,29.5,2024_Austria
NOR,5.0,101.94,MEDIUM,5.0,1.0,29.9,18.7,2024_China
VER,20.0,90.004,MEDIUM,20.0,1.0,31.3,26.8,2024_Abu_Dhabi
MAG,65.0,86.277,HARD,27.0,3.0,46.5,29.5,2024_Austria
STR,34.0,78.583,HARD,35.0,1.0,39.5,25.3,2023_Monaco
OCO,12.0,103.787,SOFT,15.0,1.0,30.6,27.1,2023_Bahrain
RUS,41.0,101.024,HARD,18.0,3.0,29.9,18.7,2024_China
HUL,16.0,95.153,MEDIUM,16.0,1.0,31.5,25.5,2024_Saudi_Arabia
RUS,4.0,90.797,MEDIUM,4.0,1.0,32.8,26.9,2023_Abu_Dhabi
PER,11.0,94.075,MEDIUM,11.0,1.0,31.6,26.0,2023_Saudi_Arabia
ALB,10.0,82.787,MEDIUM,10.0,1.0,41.150000000000006,24.1,2024_Spain
PIA,57.0,103.431,INTERMEDIATE,3.0,2.0,39.5,25.3,2023_Monaco
MAG,64.0,99.995,WET,8.0,2.0,39.5,25.3,2023_Monaco
LEC,43.0,70.946,MEDIUM,11.0,4.0,46.5,29.5,2024_Austria
NOR,50.0,95.268,HARD,24.0,4.0,39.0,22.1,2024_Japan
HUL,10.0,71.254,MEDIUM,13.0,2.0,32.0,22.5,2023_Austria
ALO,10.0,103.083,MEDIUM,10.0,1.0,29.9,18.7,2024_China
ALO,12.0,84.813,MEDIUM,6.0,2.0,45.1,28.9,2024_Hungary
SAI,52.0,88.266,HARD,27.0,2.0,31.3,26.8,2024_Abu_Dhabi
LEC,4.0,81.854,HARD,4.0,1.0,31.75,22.2,2023_Spain
ZHO,7.0,71.161,MEDIUM,7.0,2.0,32.0,22.5,2023_Austria
VER,26.0,90.268,MEDIUM,26.0,1.0,31.3,26.8,2024_Abu_Dhabi
ZHO,3.0,77.003,HARD,2.0,2.0,39.5,25.3,2023_Monaco
PIA,15.0,106.66,HARD,1.0,3.0,32.0,22.5,2023_Austria
RUS,55.0,80.305,HARD,2.0,3.0,45.1,28.9,2024_Hungary
BOT,50.0,80.239,HARD,36.0,3.0,47.25,21.6,2024_Monaco
BOT,48.0,96.765,HARD,18.0,3.0,23.5,18.2,2024_Bahrain
OCO,53.0,97.145,HARD,23.0,3.0,23.5,18.2,2024_Bahrain
ALB,24.0,81.181,SOFT,6.0,2.0,41.150000000000006,24.1,2024_Spain
LEC,35.0,94.341,HARD,19.0,2.0,31.6,26.0,2023_Saudi_Arabia
TSU,7.0,103.951,SOFT,7.0,1.0,29.9,18.7,2024_China
GAS,55.0,79.195,HARD,16.0,3.0,31.75,22.2,2023_Spain
MAG,30.0,98.04,HARD,19.0,2.0,23.5,18.2,2024_Bahrain
NOR,47.0,91.593,HARD,14.0,2.0,29.8,21.5,2023_Britain
MAG,26.0,95.544,HARD,18.0,2.0,31.6,26.0,2023_Saudi_Arabia
TSU,54.0,89.543,HARD,32.0,2.0,31.3,26.8,2024_Abu_Dhabi
MAG,20.0,85.524,HARD,14.0,2.0,45.1,28.9,2024_Hungary
GAS,22.0,134.094,HARD,11.0,2.0,29.9,18.7,2024_China
STR,33.0,104.213,INTERMEDIATE,7.0,2.0,25.4,15.9,2024_Britain
VER,33.0,102.606,INTERMEDIATE,7.0,2.0,25.4,15.9,2024_Britain
SAI,53.0,90.068,MEDIUM,20.0,2.0,39.5,25.3,2023_Monaco
PER,22.0,80.315,MEDIUM,22.0,1.0,31.75,22.2,2023_Spain
RUS,24.0,69.563,MEDIUM,2.0,2.0,46.5,29.5,2024_Austria
PER,52.0,97.062,HARD,18.0,3.0,30.6,27.1,2023_Bahrain
VER,22.0,91.904,MEDIUM,22.0,1.0,25.4,15.9,2024_Britain
VER,18.0,89.826,MEDIUM,18.0,1.0,31.3,26.8,2024_Abu_Dhabi
PIA,8.0,84.751,MEDIUM,10.0,1.0,48.650000000000006,29.0,2023_Hungary
LEC,13.0,98.479,MEDIUM,12.0,2.0,39.0,22.1,2024_Japan
VER,36.0,88.557,HARD,7.0,2.0,31.3,26.8,2024_Abu_Dhabi
LEC,30.0,97.158,HARD,19.0,2.0,23.5,18.2,2024_Bahrain
ALO,35.0,85.73,MEDIUM,19.0,2.0,38.55,20.7,2024_Australia
TSU,7.0,113.679,MEDIUM,7.0,1.0,28.2,17.9,2023_Belgium
TSU,30.0,78.335,MEDIUM,30.0,1.0,39.5,25.3,2023_Monaco
ALO,47.0,69.234,MEDIUM,3.0,4.0,32.0,22.5,2023_Austria
TSU,46.0,69.775,MEDIUM,3.0,5.0,32.0,22.5,2023_Austria
MAG,45.0,70.703,HARD,12.0,4.0,32.0,22.5,2023_Austria
LEC,14.0,81.952,HARD,5.0,2.0,38.55,20.7,2024_Australia
ALO,21.0,110.904,HARD,10.0,2.0,29.9,18.7,2024_China
OCO,32.0,104.673,INTERMEDIATE,6.0,4.0,25.4,15.9,2024_Britain
NOR,5.0,70.424,MEDIUM,5.0,1.0,46.5,29.5,2024_Austria
ALB,28.0,93.084,MEDIUM,28.0,1.0,29.8,21.5,2023_Britain
VER,16.0,97.801,SOFT,2.0,2.0,30.6,27.1,2023_Bahrain
BOT,30.0,103.472,INTERMEDIATE,4.0,2.0,25.4,15.9,2024_Britain
PIA,14.0,103.139,MEDIUM,14.0,1.0,29.9,18.7,2024_China
VER,31.0,96.761,MEDIUM,15.0,3.0,39.0,22.1,2024_Japan
BOT,39.0,92.618,SOFT,7.0,2.0,29.8,21.5,2023_Britain
SAR,48.0,95.837,SOFT,7.0,5.0,39.0,22.1,2024_Japan
NOR,5.0,93.914,MEDIUM,5.0,1.0,29.8,21.5,2023_Britain
RUS,36.0,79.835,MEDIUM,11.0,2.0,31.75,22.2,2023_Spain
NOR,53.0,83.375,MEDIUM,12.0,3.0,48.650000000000006,29.0,2023_Hungary
PIA,70.0,88.82,INTERMEDIATE,16.0,2.0,39.5,25.3,2023_Monaco
LEC,48.0,76.971,MEDIUM,4.0,2.0,39.5,25.3,2023_Monaco
VER,10.0,98.369,SOFT,13.0,1.0,30.6,27.1,2023_Bahrain
BOT,13.0,113.924,MEDIUM,7.0,2.0,28.2,17.9,2023_Belgium
HUL,48.0,101.196,HARD,25.0,3.0,29.9,18.7,2024_China
OCO,54.0,84.485,HARD,24.0,3.0,45.1,28.9,2024_Hungary
ZHO,38.0,113.446,SOFT,13.0,3.0,28.2,17.9,2023_Belgium
TSU,52.0,80.114,HARD,52.0,2.0,47.25,21.6,2024_Monaco
ZHO,53.0,86.879,HARD,20.0,3.0,48.650000000000006,29.0,2023_Hungary
ALO,46.0,71.329,HARD,12.0,3.0,46.5,29.5,2024_Austria
BOT,6.0,101.288,SOFT,6.0,2.0,39.0,22.1,2024_Japan
